sta,n,span,order,n_segments,skipped_segments,n_blocks,dropped_blocks,n_flags,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
SERO,1114,5.0213,57,0,0,5,0,0,2952,101016,53448,227460,114780,0.014,
SERQ,5636,19.1102,169,0,0,20,0,0,10320,774720,270528,1149948,885103,0.091,
SERR,2352,14.5298,133,4,1,13,0,0,11616,700704,167208,480012,695383,0.051,
SERS,6810,20.9281,184,4,2,21,0,0,16368,1320288,487680,1389444,1455441,0.108,
SES1,3995,13.9905,128,0,0,14,0,0,7464,456168,191760,815184,526701,0.051,
SESG,4335,11.9644,112,2,0,12,0,0,9600,587568,312120,884544,658709,0.093,
SESS,2153,7.154,74,0,0,8,0,0,4296,167448,103344,439416,197311,0.027,
SET1,557,1.6454,30,0,0,2,0,0,1368,31176,26736,113832,44921,0.007,
SETE,5848,16.6269,150,4,0,17,0,0,13800,908280,421056,1193196,1019336,0.09,
SEUB,1485,4.2573,51,0,2,5,0,0,2808,85176,71280,303144,113149,0.018,
SEUH,1948,5.4894,60,2,1,6,0,0,5208,188376,139464,397596,227129,0.027,
SEUR,6997,19.9288,176,3,1,20,0,0,15552,1208832,503760,1427592,1335676,0.118,
SEUS,2614,7.5345,77,3,1,8,0,0,6984,276264,186936,533460,324378,0.034,
SEUT,3076,8.5585,85,2,1,9,0,0,7320,340584,220200,627708,391740,0.039,
SEV1,3100,8.7091,86,0,0,9,0,0,4896,218160,148800,632604,269340,0.039,
SEV2,2858,9.0541,89,0,0,10,0,0,5280,234960,137184,583236,280383,0.037,
SEVA,1905,6.9076,72,0,1,6,0,0,3624,152232,91416,388824,175007,0.025,
SEVI,4066,11.9589,112,3,0,12,0,0,10008,567432,292752,829668,632049,0.063,
SEVN,522,13.7577,127,0,1,8,3,0,5568,425664,24792,106692,391566,0.02,
SEVY,4343,15.4442,140,2,0,16,0,0,12144,874128,312696,886176,940671,0.078,
SEY1,4334,20.7994,183,6,2,20,0,0,16560,1173072,303960,884340,1225096,0.086,
SEY2,3699,11.4415,108,2,0,12,0,0,9408,542064,266328,754800,596938,0.053,
SEYD,1515,4.6187,53,0,0,5,0,0,2856,90264,72720,309264,117600,0.018,
SEYG,4868,14.141,130,3,0,15,0,0,11808,698544,350496,993276,782016,0.071,
SEZA,4146,12.4079,116,3,0,13,0,0,10512,572448,298512,845988,644061,0.056,
SFAK,1185,4.5804,53,2,2,5,0,0,4104,122712,71760,241944,145223,0.017,
SFCC,187,0.9966,24,0,2,1,0,0,912,19056,8976,38352,24110,0.005,
SFCI,933,2.9651,40,0,0,3,0,0,1920,52512,44784,190536,72015,0.011,
SFDM,9338,26.8173,231,6,2,27,0,0,21600,1854192,669888,1905156,2031663,0.158,
SFEL,3240,9.6209,93,0,0,10,0,0,5376,252624,155520,661164,305142,0.04,
SFER,10257,30.3846,260,7,1,31,0,0,24576,2254080,737400,2092632,2438592,0.19,
SFGH,1973,7.5838,77,3,1,8,0,0,7032,283224,139776,402696,310210,0.027,
SFLD,2344,7.6906,78,0,0,8,0,0,4392,182232,112512,478380,217357,0.027,
SFNT,134,0.72,22,0,1,1,0,0,864,16752,6432,27540,21013,0.003,
SFON,5661,17.2895,155,7,24,18,0,0,14160,795072,353184,1155048,924913,0.082,
SFSD,5310,15.1786,138,2,1,16,0,0,12024,889992,381024,1083444,989248,0.08,
SG00,4607,13.3579,123,0,0,14,0,0,7344,425808,221136,940032,510279,0.056,
SG01,4508,14.59,133,0,0,15,0,0,7896,491784,216384,919836,576827,0.058,
SG02,1296,3.7454,46,0,0,4,0,0,2376,69240,62208,264588,95039,0.015,
SG03,3135,8.9199,88,0,0,9,0,0,4944,226608,150480,639744,278917,0.034,
SG04,4407,14.423,132,0,0,15,0,0,7872,485376,211536,899232,566882,0.057,
SG05,4178,14.0205,129,0,0,13,0,0,7176,458328,200352,852516,532101,0.051,
SG06,3193,9.6372,94,0,0,10,0,0,5400,257160,153264,651576,311174,0.035,
SG07,2474,6.7953,71,0,0,7,0,0,3912,152808,118752,504900,190867,0.025,
SG08,4483,14.3983,132,0,0,15,0,0,7872,485376,215184,914736,570439,0.066,
SG09,4399,14.4038,132,0,0,14,0,0,7560,481320,211152,897600,561849,0.06,
SG10,3577,14.4011,132,0,0,12,0,0,6936,473208,171696,729912,529144,0.055,
SG11,2641,8.0246,81,0,0,8,0,0,4464,193824,126528,538968,233888,0.029,
SG12,2290,7.9507,80,0,0,8,0,0,4440,189912,109920,467364,220806,0.027,
SG13,2792,8.0356,81,0,0,9,0,0,4776,197880,134016,569772,240660,0.033,
SG14,2314,6.5626,69,0,0,7,0,0,3864,145992,111072,472260,182858,0.025,
SG15,2639,7.9507,80,0,0,8,0,0,4440,189912,126672,538560,232528,0.032,
SG16,2724,9.9959,96,0,0,10,0,0,5448,266376,130752,555900,307528,0.035,
SG17,161,0.5229,21,0,1,1,0,0,840,15672,7728,33048,21212,0.005,
SG18,2665,7.8303,79,0,0,8,0,0,4416,186048,127920,543864,225897,0.033,
SG19,2640,7.6879,78,0,0,8,0,0,4392,182232,126720,538764,221978,0.028,
SG20,2851,9.6236,93,0,0,9,3,0,5064,248568,136704,581808,291650,0.032,
SG21,1497,5.6372,62,0,1,6,0,0,3384,119592,71856,305592,141699,0.019,
SG23,2892,8.2053,82,0,0,9,0,0,4800,201840,138816,590172,248784,0.031,
SG24,2737,9.3689,91,0,0,10,0,0,5328,243696,131376,558552,283943,0.031,
SG25,2092,6.0315,65,0,0,6,0,0,3456,128880,100320,426972,161059,0.021,
SG26,2534,8.1369,82,2,1,9,0,0,7080,328392,176544,517140,358156,0.032,
SG27,8418,24.2984,211,6,3,25,0,0,19848,1564200,597432,1717476,1724486,0.161,
SG28,196,0.5339,21,0,1,1,0,0,840,15672,9408,40188,21961,0.004,
SG29,504,1.8754,32,0,0,2,0,0,1416,34248,24192,103020,45837,0.008,
SG31,1557,6.6721,70,2,0,7,0,0,6000,256176,112104,317832,264338,0.024,
SG32,3964,10.9213,104,0,0,11,0,0,5952,309216,190272,808860,380576,0.049,
SG33,6285,19.6523,174,0,0,20,0,0,10440,816120,301680,1282344,942247,0.092,
SG34,2277,6.4504,68,0,0,7,0,0,3840,142656,109296,464712,178083,0.025,
SG36,2283,6.9459,72,2,0,7,0,0,6096,270816,164376,465936,300525,0.032,
SG39,735,2.5955,37,0,0,3,0,0,1848,46824,35280,150144,63171,0.01,
SG40,2047,6.3847,68,0,0,7,0,0,3840,142656,98256,417792,173325,0.023,
SG41,1305,3.718,46,0,0,4,0,0,2376,69240,62640,266424,95689,0.014,
SG42,1211,3.718,46,0,0,4,0,0,2376,69240,58128,247248,93382,0.013,
SG43,1383,3.9151,48,0,0,4,0,0,2424,73848,66384,282336,100224,0.015,
SG44,1395,3.9178,48,0,0,4,0,0,2424,73848,66960,284784,100579,0.014,
SG45,939,3.7043,46,0,0,4,0,0,2376,69240,45072,191760,86906,0.011,
SG46,1327,3.9151,48,0,0,4,0,0,2424,73848,63696,270912,98985,0.014,
SG47,1057,3.7043,46,0,0,4,0,0,2376,69240,50736,215832,90055,0.015,
SG48,1375,3.9178,48,0,0,4,0,0,2424,73848,66000,280704,100075,0.017,
SG72,2017,6.6995,70,0,0,7,0,0,3888,149376,96816,411672,177270,0.022,
SG99,370,1.369,27,0,0,2,0,0,1296,26928,17760,75684,37166,0.006,
SGAN,3917,13.7057,126,4,8,13,0,0,10368,559056,258816,799272,639013,0.054,
SGCC,476,1.9986,32,0,0,2,0,0,1416,34248,22848,97308,45021,0.008,
SGCG,454,1.9986,32,0,1,2,0,0,1416,34248,21792,92820,44416,0.006,
SGDM,5571,25.4127,220,4,1,19,3,0,16752,1621968,396912,1136688,1676656,0.107,
SGDO,1555,6.3163,67,2,0,7,0,0,5856,227520,111960,317424,244212,0.021,
SGDS,901,2.6995,38,0,1,3,0,0,1872,48672,43248,184008,68253,0.01,
SGEO,3912,12.1753,114,0,0,13,0,0,6816,370128,187776,798252,440083,0.05,
SGHE,1930,8.9199,88,0,0,9,0,0,4944,226608,92640,393924,245182,0.026,
SGHS,3109,8.9199,88,0,0,9,0,0,4944,226608,149232,634440,278266,0.036,
SGI1,3136,10.9596,104,3,1,11,0,0,9120,458016,225768,639948,509671,0.042,
SGIF,1003,3.0171,41,0,1,3,0,0,1944,54504,47976,204816,74730,0.011,
SGIL,7006,19.7071,174,3,0,20,0,0,15480,1248984,504432,1429428,1384030,0.111,
SGIP,6093,17.3141,155,4,1,18,0,0,14352,933504,438504,1243176,1058529,0.092,
SGIU,,,,,,,,,,,,1632,,0.0,"ValueError: SGIU.tenv3: 7 epochs, need 24"
SGL1,2956,8.6161,85,4,2,9,0,0,8160,327264,211368,603228,389034,0.039,
SGLG,1356,11.5428,109,2,1,8,0,0,7008,398208,94848,276828,389567,0.027,
SGMA,99,13.7085,24,0,3,2,15,0,1224,23112,3816,20400,26026,0.004,
SGOC,4699,14.3107,131,3,0,15,0,0,11808,719328,338328,958800,789605,0.066,
SGP1,2394,6.8474,71,0,2,7,0,0,3912,152808,114912,488580,189782,0.028,
SGP3,1663,6.9788,72,2,2,6,0,0,5544,230760,116448,339456,246926,0.023,
SGP4,2565,7.6551,78,2,2,8,0,0,6504,275352,176040,523464,320557,0.032,
SGP5,2691,7.718,78,0,3,8,0,0,4392,182232,129168,549168,224632,0.031,
SGPO,3646,17.4702,156,2,0,12,0,0,10296,820920,262512,743988,861979,0.061,
SGPS,5336,20.0137,177,4,1,17,0,0,14160,1074768,384000,1088748,1170166,0.094,
SGRE,5561,17.3197,155,4,3,18,0,0,14208,924576,398520,1134648,1028228,0.082,
SGRT,7134,20.2437,178,6,0,21,0,0,17256,1182456,513648,1455540,1326222,0.111,
SGTA,7208,20.6598,182,5,1,21,0,0,16824,1202760,515376,1470636,1355689,0.114,
SGTN,,,,,,,,,,,,4284,,0.001,"ValueError: SGTN.tenv3: 20 epochs, need 24"
SGU1,5213,18.5134,165,2,3,16,6,0,12504,985656,369792,1063656,1060352,0.078,
SGUI,241,0.6571,22,0,1,1,0,0,864,16752,11568,49368,23822,0.004,
SGUN,3500,9.7714,95,4,17,10,0,0,8160,339936,215808,714204,411918,0.044,
SGVA,7026,19.5345,173,2,0,20,0,0,15000,1293144,505872,1433508,1422248,0.112,
SHA1,6014,17.2539,155,5,36,18,0,0,12768,754272,347472,1227060,888276,0.085,
SHA2,1309,4.2711,51,0,0,5,0,0,2808,85176,62832,267240,108956,0.015,
SHA3,2205,6.4558,68,0,1,7,0,0,3840,142656,105840,450024,179096,0.022,
SHA4,56,0.2327,14,0,1,1,0,0,672,9456,2688,11628,13742,0.003,
SHAD,1455,5.1034,57,0,0,6,0,0,3264,105072,69840,297024,129033,0.017,
SHAL,6824,18.913,168,2,0,19,0,0,14448,1196880,491328,1392300,1303311,0.109,
SHAM,1181,3.6167,45,0,0,4,0,0,2352,67008,56688,241128,90612,0.013,
SHAN,5312,17.5332,157,0,0,17,0,0,9096,668088,254976,1083852,766944,0.071,
SHAO,8739,30.6803,262,6,1,31,0,0,24096,2384208,628056,1782960,2530382,0.166,
SHAP,3909,10.8528,103,2,0,11,0,0,8856,500136,281448,797640,562256,0.053,
SHAR,81,0.438,20,0,1,1,0,0,816,14640,3888,16728,17899,0.003,
SHAS,988,3.2443,42,0,0,4,0,0,2280,60600,47424,201756,81409,0.011,
SHAZ,1438,5.8864,64,0,0,6,0,0,3432,125736,69024,293556,142425,0.018,
SHB2,3254,9.1116,89,0,0,10,0,0,5280,234960,156192,664020,287357,0.036,
SHBK,3960,11.0418,105,0,0,12,0,0,6288,318336,190080,808044,386633,0.045,
SHBR,741,2.0315,33,0,0,2,0,0,1440,35856,35280,151368,52305,0.009,
SHE1,5078,14.3737,131,0,0,15,0,0,7848,479016,243744,1036116,572496,0.07,
SHE2,7040,19.5264,173,3,0,20,0,0,15408,1282992,506880,1436364,1421086,0.114,
SHEB,2804,12.063,113,0,0,11,0,0,6168,356520,134592,572220,393169,0.04,
SHEC,5790,18.1738,162,7,8,18,0,0,15264,910368,395928,1181364,1040688,0.084,
SHEE,6435,21.9686,192,0,0,21,0,0,11184,979152,308880,1312944,1105296,0.089,
SHEI,1238,4.9829,56,0,0,5,0,0,2928,98256,59424,252756,117549,0.017,
SHEK,,,,,,,,,,,,2856,,0.0,"ValueError: SHEK.tenv3: 13 epochs, need 24"
SHEL,4663,13.0075,121,2,0,13,0,0,10296,663864,335664,951456,738454,0.073,
SHEP,554,11.1294,106,0,1,6,0,0,4440,299112,26592,113220,268319,0.016,
SHER,3339,10.7104,102,2,2,11,0,0,8640,456384,233160,681360,502694,0.049,
SHFD,784,2.5161,37,0,0,3,0,0,1848,46824,37632,160140,64448,0.011,
SHGN,1136,6.6913,70,0,0,7,0,0,3888,149376,54528,231948,153267,0.017,
SHIL,28,5.9959,7,0,3,0,12,0,192,1536,672,5916,4417,0.002,
SHIN,10772,30.078,257,10,0,31,0,0,25824,2192640,775584,2197692,2404788,0.197,
SHIR,,,,,,,,,,,,1020,,0.0,"ValueError: SHIR.tenv3: 4 epochs, need 24"
SHIS,1716,4.909,56,0,0,5,0,0,2928,98256,82368,350268,127984,0.02,
SHIV,2412,10.1766,98,2,0,11,0,0,8592,487440,173664,492252,501288,0.039,
SHK0,3711,19.2991,171,2,1,15,0,0,13320,1367784,266688,757248,1397546,0.081,
SHK5,8206,24.9911,216,3,0,25,0,3,19056,1762080,590832,1674228,1892264,0.141,
SHK6,4892,24.7393,214,3,0,18,15,0,16752,1786464,351336,998172,1804843,0.105,
SHKO,69,0.4928,17,0,1,1,0,0,744,11832,3312,14280,15861,0.003,
SHLA,1238,4.9829,56,0,0,5,0,0,2928,98256,59424,252756,117561,0.015,
SHLB,204,0.6106,21,0,1,1,0,0,840,15672,9792,41820,22195,0.004,
SHLD,9517,26.8118,231,3,0,27,0,3,20400,2173536,685224,1941672,2350476,0.18,
SHLG,1642,5.0896,57,0,3,6,0,0,3264,105072,78816,335172,133931,0.018,
SHLT,1822,5.1992,58,0,0,6,0,0,3288,107880,87456,371892,140283,0.02,
SHLU,1603,4.7502,55,2,5,5,0,0,4296,136104,99864,327216,169406,0.019,
SHN5,3059,9.6564,94,2,1,10,0,0,8088,412488,220200,624240,455186,0.045,
SHNO,5442,17.2375,154,0,0,18,0,0,9336,649608,261216,1110372,757742,0.071,
SHO1,1055,11.2909,107,0,0,7,0,0,4776,308328,50640,215424,295128,0.02,
SHO2,1826,6.1848,66,0,0,7,0,0,3792,136128,87648,372708,162500,0.02,
SHOA,2545,7.833,79,0,0,8,0,0,4416,186048,122160,519384,224696,0.03,
SHOD,7824,21.5742,189,3,0,22,0,0,16824,1408200,563328,1596300,1538767,0.128,
SHOE,7507,20.9883,184,3,0,21,0,0,16296,1463592,540504,1531632,1605326,0.122,
SHON,5168,14.6037,133,0,0,15,0,0,7896,491784,248064,1054476,590494,0.069,
SHOS,9792,27.4168,236,3,5,28,0,3,20568,2000040,692064,1997772,2165231,0.201,
SHP5,3715,10.9514,104,3,0,11,0,0,9312,467952,267480,758064,540158,0.048,
SHPB,2375,7.2088,74,2,0,8,0,0,6504,275928,171000,484704,314810,0.036,
SHPM,2895,7.9343,80,0,0,8,0,0,4440,189912,138960,590784,234013,0.032,
SHPT,1791,5.388,60,0,1,6,0,0,3336,113640,85968,365568,143498,0.021,
SHRC,7242,21.0103,185,8,3,21,0,0,18264,1204056,513768,1477572,1375676,0.113,
SHRE,7937,22.2231,194,4,0,23,0,0,17808,1401936,571464,1619352,1549767,0.128,
SHRG,5161,14.3764,132,0,0,15,0,0,7872,485376,247728,1053048,583374,0.064,
SHRK,3385,11.0965,105,2,0,12,0,0,9120,510816,243720,690744,560904,0.063,
SHRN,1388,4.5886,53,0,0,5,0,0,2856,90264,66624,283356,114860,0.016,
SHRV,7914,22.0096,193,5,0,22,0,0,17808,1375200,569712,1614660,1518151,0.122,
SHRZ,1737,6.2834,67,2,3,7,0,0,5736,216360,119496,354552,240204,0.024,
SHSG,4328,11.9206,112,2,0,12,0,0,9576,585576,311616,883116,661531,0.058,
SHSH,787,10.9159,104,0,0,9,3,0,5328,301104,37608,160752,281218,0.02,
SHTA,1683,6.3354,67,0,0,7,0,0,3816,139368,80784,343536,160731,0.021,
SHTI,618,3.7043,46,0,1,4,0,0,2376,69240,29664,126276,77724,0.01,
SHTL,2010,8.1917,82,3,0,8,0,0,7320,311544,144696,410244,330725,0.028,
SHTZ,2839,7.948,80,2,0,8,0,0,6816,325776,204408,579360,364264,0.036,
SHUL,3931,11.6112,109,2,34,12,0,0,7800,380952,215160,802128,455291,0.05,
SHUM,2473,7.937,80,2,0,8,0,0,6816,308496,178056,504696,343545,0.032,
SHWA,3319,9.451,92,4,10,10,0,0,8376,346392,218016,677280,419363,0.045,
SI01,1560,4.4189,52,0,0,5,0,0,2832,87696,74880,318444,117837,0.018,
SI02,501,1.399,28,0,1,2,0,0,1320,28296,24048,102408,41455,0.007,
SIA2,3744,10.6201,101,0,0,11,0,0,5880,294312,179712,763980,359159,0.043,
SIAI,1824,5.7522,63,0,0,6,0,0,3408,122640,87552,372300,150052,0.022,
SIAN,,,,,,,,,,,,1428,,0.0,"ValueError: SIAN.tenv3: 6 epochs, need 24"
SIAU,141,0.4435,20,0,1,1,0,0,816,14640,6768,28968,19816,0.004,
SIB1,2220,10.8638,103,0,2,8,6,0,4992,292032,106272,453084,314545,0.028,
SIB2,2369,6.5763,69,0,0,7,0,0,3864,145992,113712,483480,185400,0.025,
SIBE,2339,7.2662,75,0,0,8,0,0,4320,171072,112272,477360,208099,0.025,
SIBI,61,5.744,15,0,1,1,6,0,696,10200,2520,12648,14241,0.003,
SIBY,8264,24.2245,210,4,0,25,0,0,19200,1662432,595008,1686060,1810667,0.135,
SICE,3555,10.579,101,0,0,11,0,0,5880,294312,170640,725424,354184,0.044,
SICI,950,3.1841,42,0,1,4,0,0,2280,60600,45600,194004,80544,0.011,
SICO,2730,7.5537,77,0,0,8,0,0,4368,178464,131040,557124,221443,0.028,
SID0,2761,8.6187,85,2,0,9,0,0,7344,346608,198792,563448,383147,0.035,
SIDC,2089,5.8179,63,0,0,6,0,0,3408,122640,100272,426360,156646,0.024,
SIDE,1186,3.436,44,0,1,4,0,0,2328,64824,56928,242148,89092,0.014,
SIDN,8602,24.6872,214,3,0,25,0,0,18960,1732128,619344,1755012,1877246,0.152,
SIDZ,5546,18.3053,163,2,0,19,0,0,14232,1128168,399312,1131588,1206328,0.093,
SIE0,3991,13.221,122,0,0,14,0,0,7320,419880,191568,814368,489324,0.052,
SIED,5667,18.1766,162,2,0,19,0,0,14160,1110432,408024,1156272,1192623,0.087,
