station,component,config,step_year,step_index,code,magnitude,distance_km,threshold_km,dist_ratio,mag_bin,dist_bin,ratio_bin,reachable,detected,delay_days
AB02,up,detection,2016.2354551676933,2968,2,5.8,89.486,128.825,0.6946,5-6,20-100,0.5-1,True,False,
AB02,up,detection,2016.2381930184804,2969,2,5.5,76.463,91.201,0.8384,5-6,20-100,0.5-1,True,False,
AB02,up,detection,2017.6043805612594,3468,2,5.5,64.544,91.201,0.7077,5-6,20-100,0.5-1,True,False,
AB02,up,detection,2017.6043805612594,3468,2,5.5,58.824,91.201,0.645,5-6,20-100,0.5-1,True,False,
AB02,up,detection,2018.0616016427105,3636,2,7.9,1310.69,1445.44,0.9068,>=7,>=100,0.5-1,True,False,
AB02,up,detection,2019.8165639972622,4276,2,5.8,114.073,128.825,0.8855,5-6,>=100,0.5-1,True,False,
AB02,up,detection,2020.5557837097879,4546,2,7.8,708.913,1288.25,0.5503,>=7,>=100,0.5-1,True,False,
AB02,up,detection,2020.7693360711842,4625,2,5.7,44.405,114.815,0.3868,5-6,20-100,0.25-0.5,True,False,
AB02,up,detection,2020.7994524298426,4635,2,7.6,632.298,1023.293,0.6179,>=7,>=100,0.5-1,True,False,
AB02,up,detection,2020.914442162902,4678,2,5.5,47.136,91.201,0.5168,5-6,20-100,0.5-1,True,False,
AB02,up,detection,2020.9171800136892,4678,2,6.4,47.711,257.04,0.1856,6-7,20-100,<0.25,True,False,
AB02,up,detection,2021.574264202601,4918,2,8.2,760.886,2041.738,0.3727,>=7,>=100,0.25-0.5,True,False,
AB02,up,detection,2022.028747433265,5085,2,6.8,101.935,407.38,0.2502,6-7,>=100,0.25-0.5,True,False,
AB02,up,detection,2022.028747433265,5085,2,6.6,56.148,323.594,0.1735,6-7,20-100,<0.25,True,False,
AB02,up,detection,2022.028747433265,5085,2,5.8,84.476,128.825,0.6557,5-6,20-100,0.5-1,True,False,
AB02,up,detection,2022.0588637919234,5095,2,6.2,148.097,204.174,0.7253,6-7,>=100,0.5-1,True,False,
AB02,up,detection,2022.8884325804245,5399,2,5.5,88.763,91.201,0.9733,5-6,20-100,0.5-1,True,False,
