station,normals_id,kind,month,amp_image,amp_normals,phase_image_day,phase_normals_day,phase_diff_days,range_image,range_normals,n_days,error
70026027502,USW00027502,annual,0,17.270013982887527,16.260936576129566,228.49893293865716,216.53781379555141,11.961119143105748,,,365,
70026027502,USW00027502,diurnal,1,2.118000974760363,,,,,6.109398852979599,0.6379928315412186,17,
70026027502,USW00027502,diurnal,2,1.9921734918552345,,,,,5.38885950068104,0.9940476190476196,29,
70026027502,USW00027502,diurnal,3,1.8531185865191455,,,,,5.935161380787042,3.044802867383513,31,
70026027502,USW00027502,diurnal,4,2.888024182653576,,,,,7.94378866986516,4.396296296296296,28,
70026027502,USW00027502,diurnal,5,1.3349387722459678,,,,,3.6952108449699432,2.867383512544802,28,
70026027502,USW00027502,diurnal,6,1.2298411613421594,,,,,2.4167694224076364,2.9277777777777776,5,
70026027502,USW00027502,diurnal,7,1.5921024793366503,,,,,3.6360025412049986,3.2724014336917557,7,
70026027502,USW00027502,diurnal,8,2.200420751913196,,,,,4.285569087026147,2.4318996415770613,5,
70026027502,USW00027502,diurnal,9,0.6776763470378135,,,,,2.1740890263112718,1.631481481481481,10,
70026027502,USW00027502,diurnal,10,0.6678568506100002,,,,,2.3022824032056595,0.7258064516129032,18,
70026027502,USW00027502,diurnal,11,1.1047086954393956,,,,,4.053329292054281,0.44074074074074054,30,
70026027502,USW00027502,diurnal,12,1.4939351170504243,,,,,4.951150920296087,0.32974910394265267,23,
70063727406,USW00027406,annual,0,17.78651175928566,18.186087249815913,221.0280656393136,212.43383067097534,8.59423496833827,,,365,
70063727406,USW00027406,diurnal,1,1.4135096829396452,,,,,5.504094693914729,0.5286738351254483,29,
70063727406,USW00027406,diurnal,2,1.5321577202712333,,,,,4.400454575397106,1.1428571428571426,29,
70063727406,USW00027406,diurnal,3,2.040213624540083,,,,,5.924664474622924,3.2741935483870974,31,
70063727406,USW00027406,diurnal,4,2.605479172810191,,,,,8.294166169484651,5.1537037037037035,30,
70063727406,USW00027406,diurnal,5,1.1936092146202617,,,,,3.425141563917834,3.6684587813620064,31,
70063727406,USW00027406,diurnal,6,3.048664709110155,,,,,7.758951732435899,4.94074074074074,30,
70063727406,USW00027406,diurnal,7,2.938825065430818,,,,,8.281283061879765,5.507168458781362,31,
70063727406,USW00027406,diurnal,8,2.598953862027964,,,,,7.715562927096458,4.437275985663082,31,
70063727406,USW00027406,diurnal,9,1.5112932065492861,,,,,4.820615684270891,3.1166666666666667,30,
70063727406,USW00027406,diurnal,10,1.3830798417840573,,,,,4.699521434753896,1.2885304659498202,31,
70063727406,USW00027406,diurnal,11,1.1683944811644227,,,,,4.016892465551615,0.5833333333333337,30,
70063727406,USW00027406,diurnal,12,1.368631904977226,,,,,4.62854251715517,0.4928315412186379,31,
70133026616,USW00026616,annual,0,13.680545102500458,16.270146866198022,212.3846511917064,209.09480178442757,3.2898494072788367,,,365,
70133026616,USW00026616,diurnal,1,1.4369044956824804,,,,,5.517208633298004,0.6917562724014337,31,
70133026616,USW00026616,diurnal,2,1.2665421094837168,,,,,3.987688154859118,1.7222222222222225,29,
70133026616,USW00026616,diurnal,3,2.490332094148971,,,,,6.897380395138727,4.057347670250896,31,
70133026616,USW00026616,diurnal,4,2.4456581843636376,,,,,7.427669210385153,5.337037037037037,30,
70133026616,USW00026616,diurnal,5,2.3061406821521624,,,,,7.409677913510301,3.849462365591398,30,
70133026616,USW00026616,diurnal,6,1.9799884768733298,,,,,6.0257726063715165,3.1092592592592596,30,
70133026616,USW00026616,diurnal,7,1.9406002188282985,,,,,5.312011438114565,2.752688172043011,31,
70133026616,USW00026616,diurnal,8,1.438275887549768,,,,,4.579832307380101,2.956989247311827,31,
70133026616,USW00026616,diurnal,9,1.390013115735716,,,,,4.184617242657045,3.3203703703703704,30,
70133026616,USW00026616,diurnal,10,1.359835318655168,,,,,4.717565967562665,2.17921146953405,30,
70133026616,USW00026616,diurnal,11,1.3911321270315238,,,,,4.852475548064978,0.7222222222222221,30,
70133026616,USW00026616,diurnal,12,1.333664665320132,,,,,4.3534921040763415,0.45698924731182766,30,
70174026533,USW00026533,annual,0,19.49126935427235,20.118605081321473,190.20418802390387,194.44359304785533,-4.239405023951463,,,365,
70174026533,USW00026533,diurnal,1,2.4535512992079203,,,,,8.216700836338902,1.8189964157706102,31,
70174026533,USW00026533,diurnal,2,2.558378109077574,,,,,7.894697252244258,5.468253968253968,29,
70174026533,USW00026533,diurnal,3,4.826260010573456,,,,,11.647512648835123,10.315412186379927,31,
70174026533,USW00026533,diurnal,4,4.83562980317893,,,,,11.322720900383386,10.042592592592595,30,
70174026533,USW00026533,diurnal,5,4.520451462369646,,,,,11.112922819113525,9.646953405017923,30,
70174026533,USW00026533,diurnal,6,5.6756491942088285,,,,,13.037331587791577,9.770370370370369,30,
70174026533,USW00026533,diurnal,7,3.6673063469275395,,,,,9.55931811558912,8.956989247311826,31,
70174026533,USW00026533,diurnal,8,3.0058839347233475,,,,,8.06133569744566,8.632616487455198,31,
70174026533,USW00026533,diurnal,9,3.2931140804957586,,,,,8.380799262649322,7.261111111111111,30,
70174026533,USW00026533,diurnal,10,3.0529762467220447,,,,,8.686243576682076,4.7759856630824356,31,
70174026533,USW00026533,diurnal,11,1.8711795856654794,,,,,6.823258612166894,2.066666666666666,30,
70174026533,USW00026533,diurnal,12,1.8457718383964548,,,,,7.194360258259081,0.7939068100358424,31,
70200026617,USW00026617,annual,0,10.602310880055889,13.649541992111374,211.9426595504192,209.25473832742736,2.6879212229918323,,,365,
70200026617,USW00026617,diurnal,1,1.9912550199558503,,,,,6.947443975179645,0.9982078853046595,31,
70200026617,USW00026617,diurnal,2,1.1853274348072906,,,,,4.778688011552495,2.3650793650793647,29,
70200026617,USW00026617,diurnal,3,2.828674416704761,,,,,7.50096766081376,4.521505376344088,31,
70200026617,USW00026617,diurnal,4,2.6071889976422233,,,,,7.771287203245018,4.5,30,
70200026617,USW00026617,diurnal,5,2.4534902496581714,,,,,6.200610664300055,4.179211469534049,31,
70200026617,USW00026617,diurnal,6,2.61376538462128,,,,,8.224979498405448,4.181481481481482,30,
70200026617,USW00026617,diurnal,7,1.548745919432789,,,,,5.083606353186263,3.74731182795699,31,
70200026617,USW00026617,diurnal,8,1.0950004630699344,,,,,2.936952338023282,4.123655913978494,31,
70200026617,USW00026617,diurnal,9,2.280096699952077,,,,,6.253962253875542,4.1796296296296305,30,
70200026617,USW00026617,diurnal,10,1.778472455009515,,,,,5.118014835351346,3.1559139784946235,31,
70200026617,USW00026617,diurnal,11,1.1843201797925715,,,,,4.52516552036383,1.5370370370370372,30,
70200026617,USW00026617,diurnal,12,1.1529288813877963,,,,,4.527121335174289,0.44623655913978477,29,
70219026615,USW00026615,annual,0,11.30010208101257,14.033371277740047,207.77661762531613,202.6619465474249,5.114671077891245,,,365,
70219026615,USW00026615,diurnal,1,1.4969636711049237,,,,,4.973422704235539,1.308243727598566,31,
70219026615,USW00026615,diurnal,2,2.0156076614288563,,,,,5.802986820945747,3.0099206349206358,29,
70219026615,USW00026615,diurnal,3,2.906877001915668,,,,,7.072147481616467,5.20967741935484,31,
70219026615,USW00026615,diurnal,4,2.2214930422865864,,,,,7.121607640843824,6.4796296296296285,30,
70219026615,USW00026615,diurnal,5,3.435615707636367,,,,,8.076877380595892,8.051971326164873,31,
70219026615,USW00026615,diurnal,6,3.9829720951071943,,,,,9.624796294733462,7.6537037037037035,30,
70219026615,USW00026615,diurnal,7,2.1079641549869614,,,,,5.081320753977058,6.222222222222222,31,
70219026615,USW00026615,diurnal,8,1.9560542819382931,,,,,5.601940571512143,5.449820788530466,31,
70219026615,USW00026615,diurnal,9,2.446753219656715,,,,,6.147054663526152,5.442592592592592,30,
