station,year,field,n,order,days,a1,a2,b1,b2,c,v,annual_amp,annual_phase_day,semi_amp,semi_phase_day,rss,bic,error
01001099999,2024,TMP,6039,24,366,-4.498287763178435,0.8098167947594288,-2.78681417908761,1.515851874287132,0.3141039400228416,0.00234686123940726,5.29159012671282,214.86781363477888,1.7186070364845614,31.39497976502811,53209.819237745665,13193.127235186279,
01001499999,2024,TMP,6685,24,366,-6.617825870843159,-0.4137901675073399,-1.4014861102296958,0.06935053582415825,8.346001127155937,0.007677839601868942,6.764597739257508,194.7564905010664,0.41956143715176,86.48599959629655,83721.8952222379,16950.081187523978,
01002099999,2024,TMP,1356,24,366,-7.324687071186268,1.8132675070347322,-5.930225574916123,1.600900067214106,-4.915821019800174,0.005116731350154648,9.424362899432117,222.1880501163405,2.418846848660345,21.022513588578928,33505.66420310708,4392.203494913832,
01003099999,2024,TMP,3707,24,366,-6.219777260263564,1.0835035476231298,-5.089172731682532,1.1355767412265108,-2.7298872589835037,0.003362525753975505,8.036498507446684,222.48885570453095,1.5695586873151732,23.5100582417326,60984.10908157281,10430.355079080913,
01006099999,2024,TMP,1422,24,366,-7.240189604176975,1.2626978473856734,-4.544499847240946,2.5750718224511058,-7.85564824961027,0.020424513507732826,8.548264406650354,215.20889485762558,2.8679959457039113,32.405169333094115,34835.722068576164,4591.938291405349,
01007099999,2024,TMP,2834,24,366,-7.757736242616995,1.539329246807557,-4.9002211054237685,1.0204479988371098,-2.443072700746948,0.0014063054041133158,9.175763646261482,215.37453509735923,1.846848301406421,17.01511382160037,55356.26329981364,8470.629964071013,
01008099999,2024,TMP,19003,24,366,-8.675014826894737,1.9711988761370953,-5.205624873493397,1.611567270735997,-3.13974697560395,0.005647474117652457,10.117035760062167,214.04334627059347,2.546129234228227,19.92030539060734,458188.00656666385,60539.634090552,
01009099999,2024,TMP,1418,24,366,-6.105270000721438,0.7355699488910189,-5.289347765796409,1.996474050358867,-7.532952672347281,0.014266128189191318,8.077841392924512,224.1257935153221,2.127668156331686,35.396002818448,49015.556899593226,5067.360472077504,
01010099999,2024,TMP,19900,24,366,-6.985846841181439,0.6648334476416058,-2.6170948322937417,1.7305569023248293,3.8366466132937687,0.00979982645293188,7.4599759684373845,203.4618670905943,1.8538691176259268,34.99529576471618,207347.11257036345,46698.51398661454,
01011099999,2024,TMP,1393,24,366,-7.083147500524056,0.6927744652609004,-5.727528893527589,1.5493612468395732,-7.231343430133982,0.00763399714723316,9.10909247622251,222.1526314956802,1.6971908357417569,33.435028027019875,40070.29046266741,4722.7667316790985,
01015099999,2024,TMP,7529,24,366,-7.338526117929607,0.5986434289764365,-3.398218435692886,1.516313797979564,4.066714099084747,0.008878637094655962,8.087141282320843,207.83458340541873,1.6302090323022616,34.72705874396731,82140.99728350702,18045.422321993712,
01016099999,2024,TMP,1424,24,366,-6.877614459335735,0.9732717169435612,-4.8271395216519775,1.755503841942311,-8.63624188785493,0.01902793937085802,8.402550601618444,218.19992022051522,2.007249753786629,30.942511401833748,36809.44439860033,4674.8206786589735,
01017099999,2024,TMP,1439,24,366,-7.183308852921484,1.8002437389910495,-5.7619595132988914,1.2337616107641989,-4.076325859484044,0.007740163957207419,9.208697166774233,221.92407757898567,2.182440201236209,17.463019915437084,33115.15204286009,4556.395401873687,
01020099999,2024,TMP,1311,24,366,-5.507659446918185,0.8206052585724404,-4.61436509575646,1.506736710751312,-4.507725233572584,0.010813045266049391,7.1851706883109365,223.1642685467047,1.7157064160054962,31.16100949095631,24261.979580829873,3868.7269782784315,
01023099999,2024,TMP,25089,24,366,-12.311767293728735,0.3552412811029039,-1.2414708525681313,2.2198226490827095,-1.002569674821352,0.023901339986138484,12.374201540814859,188.46699220819048,2.248067828420711,41.04393897042661,982753.6247802202,92085.45052603161,
01023199999,2024,TMP,11970,24,366,-3.577681190199283,1.2938698502661006,-3.6115528099249365,-0.1850786332960662,11.642495006497484,-0.016291113415036307,5.083612534171193,228.5551301065762,1.30703989607447,178.49538156566356,71964.65769867174,21527.7871680159,
01025099999,2024,TMP,24978,24,366,-8.194069188233142,0.7376690045367705,-2.9194512475794956,1.8053322317342146,3.026531710464247,0.010236727536043138,8.698618594268012,202.52137504822275,1.9502256349439955,34.3815893465935,343578.8960674317,65538.61650309905,
01026099999,2024,TMP,8393,24,366,-8.475035598220297,0.8543235160758247,-2.7025344736678263,1.9535852037220691,2.980380526685524,0.010600140997027538,8.895500040608415,200.5694636307846,2.132220396282232,33.67388455119805,123342.93515009858,22610.990473857502,
01027099999,2024,TMP,4913,24,366,-8.3049847906748,0.6566556815386508,-2.772197782847305,1.9211675864783013,3.234954168352708,0.011189137692031906,8.755447042873554,201.35316490098086,2.030291008558096,36.08343092460477,67803.38123897435,12946.283120598438,
01028099999,2024,TMP,3084,24,366,-5.325013365085923,0.6084792462319325,-4.335637159368934,1.6983996270513873,-0.4123024360953478,0.0061616730563162775,6.866841844403031,222.34852868516364,1.8041087235150968,35.65708095419261,39042.5448777868,7876.705023993647,
01030099999,2024,TMP,5456,24,366,-9.78873243720778,0.9361190383620926,-1.6634551966210043,1.3173546817459583,-1.3346379054048976,0.00771945358335633,9.929066719405666,192.4101136469911,1.6160885531127198,27.699242171272697,83915.4712277338,14963.388109888268,
01033099999,2024,TMP,8374,24,366,-6.346244257520886,0.4795480708860593,-3.1550158603414813,2.0007926464216697,4.725000939652688,0.006835470188244309,7.087237914386896,209.44462465686567,2.057459007189589,38.81879831153193,81741.93556002286,19133.816112683522,
01035099999,2024,TMP,1547,24,366,-9.235933641052164,1.4507181152744146,-3.3173688427652093,2.29664243550264,-0.467599633874201,0.010955922599946872,9.813633693024642,202.67043475110367,2.716459005127235,29.28121102266599,30014.342838260487,4631.472938897249,
01037099999,2024,TMP,8375,24,366,-10.260287868173538,0.7555957776793382,-2.2897658919517694,2.104645610456849,1.4573626137584381,0.017526917813627325,10.512684480080946,195.38889009149977,2.236170414986775,35.63784157206672,214039.12317422632,27196.80035371063,
01042099999,2024,TMP,1250,24,366,-6.942136195104934,2.2954698332964765,-0.8417853171168345,3.5373181413497368,-3.9127050930500906,0.03718900321109686,6.992986305685111,189.639609274433,4.216847328122766,28.925402711455806,18584.908440612828,3416.7933003594935,
01043099999,2024,TMP,1406,24,366,-7.948308957922474,0.7737777094819279,-3.9291062580714122,2.1189998989301055,3.1473565991931807,0.009488195670022473,8.866424943448548,209.3132866830061,2.2558573792145853,35.47984740035378,18985.52834899821,3703.2081154219027,
01044099999,2024,TMP,16515,24,366,-7.477441198378697,1.0123232154036963,-3.873338378829045,2.0791891508624025,4.128741606127667,0.006284715380681084,8.42109714182903,210.40865503419818,2.3125366629546,32.48660638964729,182921.22198721877,39773.32152995379,
01045099999,2024,TMP,8396,24,366,-8.866290668646862,0.8330770092144241,-3.103246427197918,2.2414683641057147,2.526267214485773,0.013721311623668079,9.393681312927912,202.19662044251868,2.391275335583169,35.313396820946245,135736.41687060051,23419.94095861753,
01046099999,2024,TMP,23850,24,366,-9.726746561358661,0.7138376183430516,-2.447277880475171,2.387811818452272,1.2822693586025142,0.018227531014163138,10.029893702984374,196.95360452177462,2.492229809969784,37.21285543780646,515998.2571161273,73382.98945243898,
01047099999,2024,TMP,2032,24,366,-14.477574735355216,0.7558549969181367,-0.9979977247912826,2.693325802065673,-5.628438364314005,0.036513569337603,14.511931976014917,186.62589907396446,2.7973774597717087,37.703821497172626,92792.53719616606,7810.675094285399,
01049099999,2024,TMP,19539,24,366,-11.230831289882692,0.8410396337173942,-2.2701366192964607,2.6049556557230575,-0.5629024094051953,0.024541436462544027,11.457970663781563,194.21911966968082,2.737360340504522,36.5791455631229,488935.73275797255,62971.3163730413,
01052099999,2024,TMP,25028,24,366,-8.437418342900658,1.1560601087540967,-4.1847979100819055,2.3564166152733916,2.885611897721029,0.008136387903632681,9.41820374813278,209.3902469147518,2.624723650175203,32.39939448565436,392659.72072237055,68961.55375434934,
01055099999,2024,TMP,2240,24,366,-6.045426679967035,0.023461545617577143,-3.8413190091073464,2.4127868373128756,3.5670118453806237,0.006326840096303998,7.162605355077626,215.53021789320104,2.41290090273783,45.373629059204845,20580.76800636076,5014.339234405698,
01057099999,2024,TMP,848,24,366,-14.475260999755042,0.8612807376447088,-1.2983691194325102,2.8419274280198823,-4.701251077474877,0.031671742762924636,14.533373434317488,187.82521729466308,2.969571688841594,37.10327604952822,39075.41698862885,3288.6095097275083,
01058099999,2024,TMP,8362,24,366,-13.001924139352779,0.978426150169358,-2.093844087736208,2.6329339527792768,-4.775167443422113,0.02760282472034912,13.169442447925894,191.90684340533167,2.808853668497727,35.31480528834565,347227.3957018937,31213.36090376497,
01059099999,2024,TMP,25003,24,366,-11.197298968488562,0.3502961649045028,-2.1973353553826622,2.904253526144006,-1.5542504716041514,0.02677754754733084,11.410862669129344,193.88943771768325,2.9253027103646376,42.167351409368266,753824.41057918,85225.07014759613,
01062099999,2024,TMP,5458,24,366,-5.565259307054807,0.6062962290598376,-4.573016571833033,1.6610222529791703,-4.578070952341808,0.013559357554091364,7.20309598166092,222.60994193067364,1.7682166276404534,35.48363902770681,97158.99711832491,15766.664818182271,
