sta,component,model,n_params,bic_image,bic_raw,rss_image,rss_raw,rank_image,rank_raw
0ABN,up,trend_annual,4,-12498.469733589083,-12498.469733551234,0.03717786389823916,0.03717786389940595,2,2
0ABN,up,trend_annual_semi,6,-12527.033189103971,-12527.033189064317,0.035882969452931325,0.035882969454111194,1,1
0ABN,up,trend_quad_annual_semi,7,-12543.947672819382,-12543.947672778919,0.035175660479003244,0.035175660480183474,0,0
0ABY,east,trend,2,-48578.181388686186,-48578.18138902749,0.030503569564232533,0.03050356956170186,3,3
0ABY,east,trend_annual,4,-53873.357082519055,-53873.357083760544,0.008387031869329577,0.008387031866798603,2,2
0ABY,east,trend_annual_semi,6,-53992.13843119909,-53992.138432482185,0.00811544020274001,0.008115440200208924,1,1
0ABY,east,trend_quad_annual_semi,7,-54110.31774144906,-54110.31774277232,0.007869695943074401,0.007869695940543125,0,0
0ABY,north,trend,2,-54534.44508120711,-54534.44508124753,0.007170964675923071,0.007170964675852618,3,3
0ABY,north,trend_annual,4,-54632.123613106494,-54632.12361314805,0.0069744359650559,0.006974435964985447,2,2
0ABY,north,trend_annual_semi,6,-54790.75194917967,-54790.75194922311,0.006683538161030447,0.006683538160959877,0,0
0ABY,north,trend_quad_annual_semi,7,-54787.62810044297,-54787.62810048646,0.0066750984159585644,0.006675098415887995,1,1
0ABY,up,trend,2,-40531.69130270009,-40531.69130272695,0.215664434300275,0.21566443429886714,3,3
0ABY,up,trend_annual,4,-42426.298455745215,-42426.298455787975,0.1355243201270703,0.13552432012566185,2,2
0ABY,up,trend_annual_semi,6,-42519.67323957036,-42519.67323961432,0.13194807861233177,0.13194807861092178,0,0
0ABY,up,trend_quad_annual_semi,7,-42515.28071824138,-42515.28071828538,0.1318221040042068,0.13182210400279687,1,1
0AKE,east,trend,2,-73620.72000381653,-73620.72000380793,0.018059340814399215,0.018059340814425978,3,3
0AKE,east,trend_annual,4,-76594.39307378109,-76594.39307376674,0.010789720452691106,0.010789720452717779,2,2
0AKE,east,trend_annual_semi,6,-76747.32984196309,-76747.32984194809,0.010477942070990934,0.010477942071017992,1,1
0AKE,east,trend_quad_annual_semi,7,-77823.06349441023,-77823.06349439202,0.008693121405405652,0.008693121405432899,0,0
0AKE,north,trend,2,-73529.30844967563,-73529.3084480522,0.018345873316936434,0.018345873322065297,3,3
0AKE,north,trend_annual,4,-74504.29037704298,-74504.2903751167,0.015464112376079248,0.015464112381208987,2,2
0AKE,north,trend_annual_semi,6,-74663.56202673132,-74663.56202474651,0.015000889898207876,0.015000889903335105,1,1
0AKE,north,trend_quad_annual_semi,7,-75358.17649398615,-75358.17649174565,0.01328984617218649,0.013289846177314083,0,0
0AKE,up,trend,2,-56330.47028104919,-56330.47028104985,0.3546555620642303,0.3546555620641899,3,3
0AKE,up,trend_annual,4,-59258.484787521316,-59258.48478752242,0.21356485794583574,0.21356485794579533,2,2
0AKE,up,trend_annual_semi,6,-59329.83368663261,-59329.83368663373,0.21032814563842678,0.21032814563838628,1,1
0AKE,up,trend_quad_annual_semi,7,-59427.04588164186,-59427.045881643,0.2065279826191853,0.20652798261914473,0,0
0ALE,east,trend,2,-45181.24811971,-45181.2481196034,0.03140689835540526,0.03140689835627333,3,3
