sta,component,model,n_params,bic_image,bic_raw,rss_image,rss_raw,rank_image,rank_raw,error
0ABY,up,trend_annual_semi,6,-42519.673239598706,,0.1319480786114225,,0,,
0ABY,up,trend_quad_annual_semi,7,-42515.28071826975,,0.1318221040032976,,1,,
0AKE,east,trend,2,-73620.72000337798,,0.01805934081576307,,3,,
0AKE,east,trend_annual,4,-76594.39307304699,,0.010789720454055112,,2,,
0AKE,east,trend_annual_semi,6,-76747.32984120697,,0.010477942072355233,,1,,
0AKE,east,trend_quad_annual_semi,7,-77823.06349349885,,0.008693121406769979,,0,,
0AKE,north,trend,2,-73529.30844967578,,0.018345873316935976,,3,,
0AKE,north,trend_annual,4,-74504.29037704301,,0.0154641123760792,,2,,
0AKE,north,trend_annual_semi,6,-74663.56202673199,,0.015000889898206159,,1,,
0AKE,north,trend_quad_annual_semi,7,-75358.17649398654,,0.01328984617218562,,0,,
0AKE,up,trend,2,-56330.47028104778,,0.3546555620643156,,3,,
0AKE,up,trend_annual,4,-59258.48478751901,,0.21356485794592106,,2,,
0AKE,up,trend_annual_semi,6,-59329.83368663026,,0.21032814563851182,,1,,
0AKE,up,trend_quad_annual_semi,7,-59427.04588163947,,0.2065279826192704,,0,,
0ALE,east,trend,2,-45181.24811982167,,0.03140689835449595,,3,,
0ALE,east,trend_annual,4,-48617.043425578275,,0.012832113842489922,,2,,
0ALE,east,trend_annual_semi,6,-48643.14934310749,,0.012691095056942289,,1,,
0ALE,east,trend_quad_annual_semi,7,-48651.84376740569,,0.012635438269822056,,0,,
0ALE,north,trend,2,-48251.76993987897,,0.014167305270380869,,3,,
0ALE,north,trend_annual,4,-48384.74234462419,,0.013628720393856847,,2,,
0ALE,north,trend_annual_semi,6,-48465.25090295736,,0.01329016246163196,,1,,
0ALE,north,trend_quad_annual_semi,7,-48646.97022616903,,0.012651413963458018,,0,,
0ALE,up,trend,2,-36880.72623558113,,0.2701816263306027,,3,,
0ALE,up,trend_annual,4,-38372.9707754577,,0.18271361453633123,,2,,
0ALE,up,trend_annual_semi,6,-38451.4793696644,,0.1782671459018594,,0,,
0ALE,up,trend_quad_annual_semi,7,-38448.906762642575,,0.17800458200218286,,1,,
0ALF,east,trend,2,-84316.71516528304,,0.10483546899903651,,3,,
0ALF,east,trend_annual,4,-86495.83070142427,,0.07833975756870035,,2,,
0ALF,east,trend_annual_semi,6,-86581.49259848859,,0.07727170606503606,,1,,
0ALF,east,trend_quad_annual_semi,7,-87759.91408885962,,0.06601455984830215,,0,,
0ALF,north,trend,2,-90576.74239073302,,0.04570738667184653,,3,,
0ALF,north,trend_annual,4,-91094.05027401865,,0.04257608281551206,,2,,
0ALF,north,trend_annual_semi,6,-91216.2848553221,,0.04179243913727296,,1,,
0ALF,north,trend_quad_annual_semi,7,-94234.02218590044,,0.027976200247012403,,0,,
0ALF,up,trend,2,-72492.13901135667,,0.5029196274284726,,3,,
0ALF,up,trend_annual,4,-76024.99501912612,,0.31405749596752786,,2,,
0ALF,up,trend_annual_semi,6,-76083.21245345513,,0.31090520889138945,,1,,
0ALF,up,trend_quad_annual_semi,7,-76721.2394114955,,0.2853442625111508,,0,,
0ALI,east,trend,2,-66679.42618414861,,0.040508895254952784,,3,,
0ALI,east,trend_annual,4,-73178.68994637627,,0.01273642695889781,,2,,
0ALI,east,trend_annual_semi,6,-73219.14919403606,,0.012606537108970313,,1,,
0ALI,east,trend_quad_annual_semi,7,-73586.46180217994,,0.011792493911622431,,0,,
0ALI,north,trend,2,-74036.92341451372,,0.010969819145995563,,3,,
0ALI,north,trend_annual,4,-74670.75889971478,,0.009772175732088998,,2,,
0ALI,north,trend_annual_semi,6,-74896.98850904021,,0.009358674688895773,,0,,
0ALI,north,trend_quad_annual_semi,7,-74892.67109055229,,0.009351500902606284,,1,,
0ALI,up,trend,2,-55603.00975424074,,0.28951723938685936,,3,,
0ALI,up,trend_annual,4,-58508.80669058567,,0.17229428021496035,,2,,
