group,n_blocks,n,n_flags,digest,bytes_header,bytes_payload,samples,p_c,p_v
00NA/east,11,3185,0,faadeb9c803c4368bdf7bd69a22ea7cd9abe01cf5ffad913737b6a9ee8132400,62334,16016,3185,0.8320432426387345,0.03652715746627763
00NA/north,11,3185,0,b5c85bd947cc8444cf11ec7b74fa28fe68ee5c96c31289a77d3daaa3acbaced1,62380,16016,3185,-0.2856338918206994,0.05944064474514743
00NA/up,11,3185,0,94b48b101fc3b64fbd497977dcccea54357993aef5268790807ea12521701e4e,62346,16016,3185,0.8531924783357323,-0.0008366831189987728
01NA/east,10,2360,0,9026673f2432358e1e01672acbaf5b0704cad64f2717fa6bba229dcc5d4b68d2,47552,14560,2360,-0.7216150458386229,0.03535308550825153
01NA/north,10,2360,0,9e4cdb87b111d1047820febaac6ada1a0f8506b7cb7510a3aec08cc78764c73e,47560,14560,2360,-0.7624949603992821,0.0590521503875638
01NA/up,10,2360,0,77f9337df3baae04545d9836a80d0486ce06c4965853ff5181881ba117275bad,47538,14560,2360,0.39857947407886823,-0.0034926933542403244
02NA/east,7,1903,0,4771222ef887100b6d2b69e41a8948004da3c1a939d9cc39ed2ced956a583f43,38054,10192,1903,-0.22386588506997318,0.03621986472759519
02NA/north,7,1903,0,bfde81f46000dbd306076a9b56356dd629a6be69e2e4ee87559413bb380b10f6,38059,10192,1903,-0.14127295244469798,0.0592834949188149
02NA/up,7,1903,0,54614e1eb0a3a06faaa0709c5b2cff32a3a750e9ca5116253188e7e4bfe7f3b5,38037,10192,1903,0.6582600617067431,-0.0013394696607232537
0ABI/east,18,6078,0,e005a8101d55a4a0503fcd6176d197072fdb0a1f1deba241811b3845942ebdb0,119028,26208,6078,0.04965102296790093,0.015211504803206226
0ABI/north,18,6078,0,06915641940134aee46226b8b5ac5cd87aeca56f41ecff651f3158899efad51c,119079,26208,6078,0.3756499806290815,0.01493363325260648
0ABI/up,18,6078,0,2c466cde4e8514ed8d21f8b467c196d31420c31801ab95fbdd6d6135a8fe1f15,119057,26208,6078,0.32372328848344245,0.005474492296494928
0ABN/east,4,1206,0,6a432d62337f3260ef697cacde73e2b82f2770883444ea42b7397465d5ea2509,24262,5824,1206,0.3201942313581183,0.015356538569123324
0ABN/north,4,1206,0,534c8ec232ecad81f81afb32d44106a1afc324ec815f4595454cc676f604b0ce,24265,5824,1206,0.3671303211546129,0.016497707089828905
0ABN/up,4,1206,0,1238ef6915682cfc2e93c799b69c274d81d53b1c142688df47c2aa5803b1bb18,24257,5824,1206,0.7619832935606689,0.007840553420592991
0ABY/east,12,4114,0,36bc75591ea1cd0ad7c7e4ffbba8bfc17424a423a5a20ea36714f423c3b63b98,80051,17472,4114,-0.6563157148259504,0.01863082924399064
0ABY/north,12,4114,0,667b6147338951c637341163c871c1925282db34202c00e1bbe8e002ab82d033,80023,17472,4114,0.03211415877323642,0.0137957827438815
0ABY/up,12,4114,0,47d75cee84bc6e9400f5ab3fcd6ba25512d1e25b38d1e9429dc99bdeb5338e71,80020,17472,4114,0.5069816887360784,0.0051999190721457415
0AKE/east,16,5807,0,5e881451638a590dd1045383e6781ec2e0c7094acd28d6e73e65ee81be0d4e82,113300,23296,5807,0.4245337713798397,0.018799645543716433
0AKE/north,16,5807,0,27cd7b2aa21e728f9641cc5e8aa1619d911db3746095f2b42685c38121fc913a,113320,23296,5807,0.9940640204154046,0.014212460159135435
0AKE/up,16,5807,0,7e82aa8295181b2d0248e6638f17e844b6edceb431d31d9b17f1bc13a2d787c0,113246,23296,5807,0.07313509932575361,0.00521629783187198
0ALE/east,11,3857,0,9c645f68dbe8f3c95f4fa96a69c31884213fdda446fe31df73515a7861d8f2e1,74867,16016,3857,0.496079705926637,0.01694120007035799
0ALE/north,11,3857,0,20d7bc91ea0b5b263ddedcdc9d4db1abb458849c71ac1b2a04127a09d01eaca8,74859,16016,3857,0.07537950217471391,0.014726810386447214
0ALE/up,11,3857,0,440f713aed85939b3dedda665d2232e1cf19af799b5cd7e7a228d1c12cc0307e,74853,16016,3857,0.3959088142343589,0.009295282731428425
