station,component,config,n_updates,station_years,seconds,us_per_update,n_flags,n_steps,n_detected,n_reachable,n_detected_reachable,recall_reachable,median_delay_days,n_false_alarms,false_alarms_per_year,event_window_share,chance_false_alarms_per_year,v,c
7ODM,up,detection,7588,25.3388,0.9718,128.07,1,9,1,9,1,0.1111,10.02,0,0.0,0.078,0.0364,-0.0036950161888290108,0.16834744063353801
7ODM,up,tracking,7588,25.3388,2.906,382.97,0,9,0,2,0,0.0,,0,0.0,0.078,0.0,-0.0002545795874335882,0.08092567373626983
AACR,east,detection,2812,9.4236,0.3244,115.37,2,14,2,11,2,0.1818,23.0,0,0.0,0.3562,0.1366,0.023441657012094736,-1.0038733885013387
AACR,east,tracking,2812,9.4236,1.1617,413.1,0,14,0,0,0,,,0,0.0,0.3562,0.0,0.007916648228299974,-0.8627553014139481
AACR,north,detection,2812,9.4236,0.4271,151.88,3,14,2,11,2,0.1818,23.0,1,0.1061,0.3562,0.205,0.043655309963250684,0.7141525395513549
AACR,north,tracking,2812,9.4236,1.2238,435.21,0,14,0,0,0,,,0,0.0,0.3562,0.0,0.010567786796940188,1.0187427354422012
AACR,up,detection,2812,9.4236,0.4757,169.16,0,14,0,13,0,0.0,,0,0.0,0.3562,0.0,-0.043431293926610486,1.3482279579039058
AACR,up,tracking,2812,9.4236,1.1471,407.91,0,14,0,0,0,,,0,0.0,0.3562,0.0,0.000620675269383488,0.9361805986884204
AB01,east,detection,5693,19.2635,0.708,124.37,1,47,0,45,0,0.0,,0,0.0,0.4719,0.0274,-0.022512241266678005,0.12932416799523233
AB01,east,tracking,5693,19.2635,2.4684,433.59,0,47,0,4,0,0.0,,0,0.0,0.4719,0.0,-0.011395811728329623,-0.0770837806566287
AB01,north,detection,5693,19.2635,0.6736,118.32,0,47,0,46,0,0.0,,0,0.0,0.4719,0.0,-0.0013859047834566948,-0.38399336187756283
AB01,north,tracking,5693,19.2635,2.1608,379.55,0,47,0,4,0,0.0,,0,0.0,0.4719,0.0,-0.01794049668299747,-0.07244619069463777
AB01,up,detection,5693,19.2635,0.6797,119.39,2,47,0,45,0,0.0,,1,0.0519,0.4719,0.0548,-0.0076151769731259596,0.6263218214229965
AB01,up,tracking,5693,19.2635,2.4041,422.28,0,47,0,4,0,0.0,,0,0.0,0.4719,0.0,-0.0008048857035297186,0.5031456584536863
AB02,east,detection,6749,19.2498,0.7913,117.25,3,50,2,48,2,0.0417,30.5,1,0.0519,0.4284,0.0891,-0.016667005886738223,0.5654725999012205
AB02,east,tracking,6749,19.2498,2.9103,431.22,1,50,0,0,0,,,1,0.0519,0.4284,0.0297,-0.010248099877101876,0.4433511998310339
AB02,north,detection,6749,19.2498,0.8766,129.89,4,50,4,47,4,0.0851,33.99,0,0.0,0.4284,0.1188,-0.01853089323306628,0.1292059242126014
AB02,north,tracking,6749,19.2498,2.7075,401.17,0,50,0,10,0,0.0,,0,0.0,0.4284,0.0,-0.01877174744754221,0.13120098797931312
AB02,up,detection,6749,19.2498,0.8489,125.78,1,50,0,48,0,0.0,,1,0.0519,0.4284,0.0297,0.019896890314212365,0.43226340094023613
AB02,up,tracking,6749,19.2498,2.9295,434.07,0,50,0,10,0,0.0,,0,0.0,0.4284,0.0,-0.0005863937784991634,0.8252497670945221
AB04,east,detection,6062,19.1266,0.7744,127.74,7,8,0,7,0,0.0,,6,0.3137,0.1202,0.322,0.01046482989109313,0.3573415608619626
AB04,east,tracking,6062,19.1266,2.4234,399.77,0,8,0,1,0,0.0,,0,0.0,0.1202,0.0,1.3889848357188552e-05,0.5580043293156282
AB04,north,detection,6062,19.1266,0.8047,132.75,5,8,0,8,0,0.0,,5,0.2614,0.1202,0.23,-0.0221472012525182,0.17525093808677533
AB04,north,tracking,6062,19.1266,2.5262,416.73,0,8,0,1,0,0.0,,0,0.0,0.1202,0.0,-0.023217622787275776,0.19369351013365485
AB04,up,detection,6062,19.1266,0.7087,116.91,0,8,0,8,0,0.0,,0,0.0,0.1202,0.0,0.003915808139704227,0.4776991498352243
AB04,up,tracking,6062,19.1266,2.4519,404.47,0,8,0,1,0,0.0,,0,0.0,0.1202,0.0,-0.0019944155120313126,0.5888468637330807
AB06,east,detection,6868,21.0212,0.9558,139.16,8,22,1,18,1,0.0556,20.02,6,0.2854,0.2501,0.2854,-0.0015924651601088792,-0.28508650819881587
AB06,east,tracking,6868,21.0212,2.8991,422.12,1,22,0,0,0,,,1,0.0476,0.2501,0.0357,-0.007550180383909503,-0.15809786945341855
AB06,north,detection,6868,21.0212,0.8136,118.46,9,22,0,19,0,0.0,,9,0.4281,0.2501,0.3211,-0.009408311519553392,-0.10383576336842536
AB06,north,tracking,6868,21.0212,2.9104,423.76,0,22,0,8,0,0.0,,0,0.0,0.2501,0.0,-0.023280427819269898,0.18060456702066544
AB06,up,detection,6868,21.0212,0.8084,117.7,6,22,0,19,0,0.0,,6,0.2854,0.2501,0.2141,-0.006020712723146877,0.574504174723879
AB06,up,tracking,6868,21.0212,2.9381,427.8,0,22,0,8,0,0.0,,0,0.0,0.2501,0.0,0.0016687600304380944,0.4111173378330038
