sta,kind,index,component,n,span,order,a1,a2,b1,b2,c,v,stderr_a1,stderr_a2,stderr_b1,stderr_b2,stderr_c,stderr_v,rss,bic,converged,midas_v,midas_sigma,midas_span,midas_steps,diff,diff_over_sigma,within_sigma,error
01NA,whole,0,east,2360,11.4743,108,0.00018014765942228622,0.00013237454873030226,-0.002022984911571231,-0.0003658909210552278,-0.7215541998561245,0.03533528933443458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,True,0.036048,0.000239,11.4743,2,-0.0007127106655654136,-2.9820529939975464,False,
01NA,whole,0,north,2360,11.4743,108,-0.0008178834733115628,-0.0009054403750532133,0.0013205789935782255,-9.876153639866385e-05,-0.7625477515005373,0.05906913959344797,0.00012000166959973892,0.00012039805445257836,0.00011835621444765429,0.00011811873088755828,0.00014998251424826767,2.2469382449273705e-05,0.03917817217642306,-25927.685203978257,True,0.058922,0.000266,11.4743,2,0.00014713959344796884,0.5531563663457475,True,
01NA,whole,0,up,2360,11.4743,108,-0.002344643142165791,2.977503184249937e-05,-3.053568468072996e-05,0.0016346671046931444,0.3983558746190517,-0.0034575353886313357,0.00022439447381273549,0.00022513568492068858,0.00022131759126380062,0.00022087351412150197,0.0002804564926313688,4.201612584574287e-05,0.13699159055385213,-22973.437719279875,True,-0.001515,0.001009,11.4743,2,-0.0019425353886313357,-1.9252085120231277,False,
01NA,seg,0,east,1674,9.0377,89,1.187823979088736e-05,0.00020566756519939776,-0.0014909498815998121,-0.0004265367139437634,-0.7230316031040461,0.03588449044081268,0.00011651166376784955,0.00011448108302310238,0.00011474395420622549,0.000111624577032455,0.00014556079046451,3.5521369818374906e-05,0.01755750586753154,-19148.28228038202,True,,,,,,,,
01NA,seg,0,north,1674,9.0377,89,-0.0009427438284667051,-0.0010825620495464184,0.0014132847770786947,-6.886318020966855e-05,-0.7623616551538857,0.05899386660424364,0.0001040938803708652,0.00010227971840380024,0.00010251457284329641,9.972765809281222e-05,0.00013004695855594112,3.1735511286239915e-05,0.014014396834535037,-19525.595848434554,True,,,,,,,,
01NA,seg,0,up,1674,9.0377,89,-0.0030031228499844066,3.956235527342401e-05,0.0007340134126887449,0.001845920194726941,0.39611587225776906,-0.002594883425209209,0.0003005413032718733,0.0002953034295372654,0.00029598150455064655,0.00028793508541213436,0.0003754733925923006,9.162721082146658e-05,0.11682407338887914,-15975.738215051759,True,,,,,,,,
01NA,seg,1,east,588,1.7385,30,-0.00022750254101609342,0.00023496553976886804,-0.0019331184125607425,-9.370686003643229e-05,-0.7240728907433318,0.03548889209703262,8.217354674426888e-05,8.116096836434868e-05,8.738185102453198e-05,8.137047456140385e-05,0.0012559213424384195,0.00012141578469635407,0.0010924971960754217,-7720.997131818276,True,,,,,,,,
01NA,seg,1,north,588,1.7385,30,-0.0005169851038526025,-0.0005748801812450993,0.0011224815067278169,-0.0004239725765457903,-0.7602414543532028,0.05887803578903596,8.766471003594236e-05,8.658446714049306e-05,9.32210539275983e-05,8.680797337508131e-05,0.0013398470027764055,0.00012952927043926863,0.0012433856986911332,-7644.926407844334,True,,,,,,,,
01NA,seg,1,up,588,1.7385,30,-0.00299137648103764,0.0006009182317297749,-0.001248514535937433,0.0020486674329367447,0.3202456662086645,0.0038904707245623195,0.00030289449973286826,0.00029916210124238156,0.00032209248718662113,0.000299934348239891,0.004629368961103639,0.00044754272904547264,0.014843593096080087,-6186.84500920239,True,,,,,,,,
01NA,segmean,-1,east,2262,10.7762,89,-5.034806397326149e-05,0.0002132834843182521,-0.0016058902424331573,-0.0003400186086840328,-0.7233022826495369,0.0357816558580794,,,,,,,,,True,0.036048,0.000239,11.4743,2,-0.000266344141920595,-1.114410635651025,False,
01NA,segmean,-1,north,2262,10.7762,89,-0.0008320691467367793,-0.0009505916965131842,0.0013376913540166628,-0.00016117278456229437,-0.7618105154232041,0.05896375673716047,,,,,,,,,True,0.058922,0.000266,11.4743,2,4.1756737160468516e-05,0.15698021488897937,True,
01NA,segmean,-1,up,2262,10.7762,89,-0.0030000694172077937,0.00018548510299947808,0.00021866131994241746,0.0018986237208398343,0.37639364362961986,-0.0009090353968866364,,,,,,,,,True,-0.001515,0.001009,11.4743,2,0.0006059646031133637,0.6005595670102712,True,
02NA,whole,0,east,1913,8.2738,83,6.268814157441207e-05,0.0006326419329991728,0.0010580005988261776,-0.00028342295995606486,-0.22382932891305263,0.03616778400114877,4.737578214877093e-05,4.704178086580695e-05,4.781606456433685e-05,4.691095294253749e-05,5.996644159254903e-05,1.7782318063725968e-05,0.003944117208710907,-24999.577265796055,True,0.03627,0.000207,8.2738,0,-0.00010221599885122667,-0.4937970958996458,True,
02NA,whole,0,north,1913,8.2738,83,0.0008275529423194752,-0.001068583525828534,-0.0006804685790099718,-0.0008305325762559097,-0.14121203185388034,0.05929975270999523,5.887818454222031e-05,5.846309083223284e-05,5.942536346230612e-05,5.830049909738094e-05,7.452573982502524e-05,2.209970067104586e-05,0.0060918029575613986,-24167.9599421464,True,0.059634,0.000269,8.2738,0,-0.00033424729000476605,-1.2425549814303571,False,
02NA,whole,0,up,1913,8.2738,83,0.003706310141562629,-9.307057848302356e-05,0.0025333865689935453,0.0007081562652671167,0.6586061359058825,-0.001590158877277018,0.00022450995409225525,0.0002229271493489051,0.00022659641642433723,0.00022230716652825265,0.00028417605870319885,8.426894989520656e-05,0.08857440194850952,-19047.05252099808,True,-0.000593,0.000964,8.2738,0,-0.000997158877277018,-1.0343971755985664,False,
