sta,n,span,order,n_segments,skipped_segments,n_blocks,dropped_blocks,n_flags,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
00NA,3185,10.4969,100,2,0,3,0,0,6216,471576,229320,649944,497055,0.366,
01NA,2360,11.4743,108,2,1,3,0,0,6456,514776,167568,481644,506135,0.041,
02NA,1913,8.2738,83,0,0,3,0,0,2952,181512,91824,390456,190127,0.019,
0ABI,6078,17.1965,154,0,0,5,0,0,5280,596880,291744,1240116,684257,0.158,
0ABN,1206,3.3813,44,0,0,1,0,0,1392,52656,57888,246228,70886,0.01,
0ABY,4114,11.3676,107,0,0,3,0,0,3528,292104,197472,839460,346531,0.075,
0AKE,5807,15.9918,144,0,0,4,0,0,4728,520824,278736,1184832,601479,0.089,
0ALE,3857,10.6886,102,0,0,3,0,0,3408,266784,185136,787032,315187,0.061,
0ALF,7541,20.7502,183,0,0,6,0,0,6288,836880,361968,1538568,943297,0.679,
0ALI,5632,15.5291,141,0,0,4,0,0,4656,500160,270336,1149132,578263,0.078,
0ALM,8827,24.3395,211,0,0,7,0,0,7272,1107048,423696,1800912,1232057,0.224,
0ALN,1197,3.3813,44,0,0,1,0,0,1392,52656,57456,244392,70725,0.009,
0ALS,2833,7.8412,79,0,0,2,0,0,2544,161712,135984,578136,193722,0.038,
0ALV,6707,18.4038,164,5,0,5,0,0,11136,965904,482904,1368432,1051276,0.135,
0AMB,4090,11.2882,107,0,0,3,0,0,3528,292104,196320,834564,344704,0.038,
0AME,6179,17.1006,153,0,0,5,0,0,5256,589464,296592,1260720,679115,0.085,
0AMM,6683,18.5572,165,0,0,5,0,0,5544,681624,320784,1363536,777249,0.784,
0AMS,3714,10.2971,99,0,0,3,0,0,3336,252168,178272,757860,298782,0.058,
0ANA,6849,18.9596,168,0,0,5,0,0,5616,705744,328752,1397400,810459,0.134,
0ANG,6616,18.2094,162,0,0,5,0,0,5472,657936,317568,1349868,756918,0.082,
