station,year,field,days,n,dropped_quality,dropped_missing,dropped_repeat,n_days,dropped_days,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
72450003928,2024,TMP,366,12912,56,380,15,366,0,49976,851192,206016,8120085,913565,0.158,
72450503923,2024,TMP,366,12162,71,154,10,358,8,48888,832696,174160,6029199,866764,0.15,
72451013985,2024,TMP,366,13360,27,449,17,363,3,49568,844256,212336,7532945,909193,0.162,
72451523064,2024,TMP,366,10293,38,381,2,366,0,49976,851192,127832,6006997,844509,0.141,
72452003957,2024,TMP,366,8751,26,348,0,365,1,49840,848880,81768,4116238,791008,0.125,
72456013996,2024,TMP,366,13536,63,543,24,358,8,48888,832696,215168,7432153,902126,0.16,
72456513920,2024,TMP,366,10763,21,420,0,366,0,49976,851192,139960,6163542,858056,0.145,
72458013984,2024,TMP,366,13631,13,388,6,365,1,49840,848880,216488,7356955,916349,0.176,
72458593997,2024,TMP,366,10498,19,383,1,364,2,49704,846568,133432,5862186,847372,0.147,
72458603919,2024,TMP,366,10251,17,411,1,364,2,49704,846568,126752,5818094,840788,0.148,
72462023061,2024,TMP,366,12879,46,463,156,366,0,49976,851192,204720,7187066,910459,0.16,
72463523067,2024,TMP,366,9849,25,482,0,361,2,49296,839632,120752,5703665,830067,0.136,
72464093058,2024,TMP,366,12436,66,468,16,360,6,49160,837320,197144,6820064,894419,0.153,
72464523070,2024,TMP,366,10202,25,349,1,365,1,49840,848880,128400,5703618,844080,0.143,
72465023065,2024,TMP,366,13099,28,451,10,364,2,49704,846568,207856,7279466,909707,0.16,
72466093037,2024,TMP,366,10266,23,761,4,366,0,49976,851192,141216,6858314,865600,0.153,
72466593010,2024,TMP,366,10514,55,398,0,366,0,49976,851192,136160,5738079,853843,0.142,
72466693067,2024,TMP,366,9835,30,373,1,365,1,49840,848880,123448,6226745,843443,0.143,
72469523036,2024,TMP,366,9556,13,126,0,366,0,49976,851192,112528,5172873,829387,0.136,
72469824015,2024,TMP,366,10807,30,407,0,365,1,49840,848880,134840,6207094,845356,0.218,
72470093141,2024,TMP,366,8792,16,437,1,318,41,43448,740216,103128,4959886,726587,0.144,
72475593129,2024,TMP,366,9938,26,390,2,366,0,49976,851192,118112,5655021,835799,0.142,
72476023066,2024,TMP,366,12724,16,394,22,365,1,49840,848880,202680,7071197,909336,0.16,
72476593013,2024,TMP,366,9949,5,383,0,365,1,49840,848880,118168,5713056,833354,0.138,
72480023157,2024,TMP,366,11720,60,381,1,365,1,49840,848880,186240,6156476,896254,0.151,
72483023232,2024,TMP,366,10260,3,381,1,366,0,49976,851192,120200,5629559,833920,0.136,
72483993225,2024,TMP,366,9566,1,373,1,365,1,49840,848880,106552,5454164,821003,0.141,
72485523153,2024,TMP,366,9331,15,364,0,363,3,49568,844256,100424,5120167,807633,0.133,
72486023154,2024,TMP,366,12864,76,388,12,365,1,49840,848880,205112,7076892,910294,0.155,
72488023185,2024,TMP,366,12015,12,360,1,365,1,49840,848880,191176,6818329,899369,0.154,
72492023237,2024,TMP,366,12722,4,379,7,366,0,49976,851192,202592,6589932,909702,0.158,
72493023230,2024,TMP,366,10105,2,381,0,366,0,49976,851192,143632,6056188,871371,0.145,
72494023234,2024,TMP,366,12697,2,363,1,365,1,49840,848880,202912,7505017,910359,0.165,
72502014734,2024,TMP,366,12701,5,380,7,366,0,49976,851192,201896,8016587,908972,0.162,
72502594741,2024,TMP,366,10377,22,365,1,365,1,49840,848880,131016,5923515,848654,0.141,
72503014732,2024,TMP,366,13025,1,379,9,366,0,49976,851192,207440,7965128,912443,0.166,
72503614757,2024,TMP,366,11227,5,368,1,365,1,49840,848880,148048,6534497,860971,0.145,
72503794745,2024,TMP,366,10457,32,381,1,365,1,49840,848880,133600,6110772,846093,0.143,
72504094702,2024,TMP,366,13918,4,375,10,366,0,49976,851192,221728,7921700,922411,0.167,
72506454769,2024,TMP,366,11927,4,361,6,361,4,49296,839632,165440,6673042,869870,0.174,
72507014765,2024,TMP,366,13900,3,379,15,365,1,49840,848880,221320,8544755,919966,0.169,
72508014740,2024,TMP,366,13553,9,376,12,366,0,49976,851192,215696,8515544,918131,0.17,
72509014739,2024,TMP,366,13558,2,379,11,366,0,49976,851192,215776,8387857,918198,0.165,
72512504787,2024,TMP,366,13963,4,374,12,366,0,49976,851192,203248,8098264,905974,0.162,
72512614736,2024,TMP,366,12503,5,423,1,362,4,49432,841944,179080,7350188,882740,0.161,
72512704726,2024,TMP,366,14230,0,386,7,366,0,49976,851192,208672,8422624,908188,0.167,
72513014777,2024,TMP,366,14670,5,452,10,364,1,49704,846568,234664,8774554,927630,0.174,
72514014778,2024,TMP,366,14892,6,379,7,366,0,49976,851192,237888,8580629,932354,0.169,
72515004725,2024,TMP,366,16144,1,506,23,365,1,49840,848880,257608,9326565,942455,0.179,
72515614748,2024,TMP,366,12985,13,380,0,366,0,49976,851192,193552,7654502,906816,0.163,
72517014737,2024,TMP,366,13577,24,455,13,363,2,49568,844256,215728,8064307,911720,0.167,
72518014735,2024,TMP,366,14030,7,376,13,366,0,49976,851192,223328,8774357,923261,0.17,
72519014771,2024,TMP,366,14001,5,375,9,365,1,49840,848880,223752,8874140,922352,0.177,
72520094823,2024,TMP,366,13000,5,371,3,366,0,49976,851192,207616,8007948,913901,0.168,
72520514762,2024,TMP,366,11957,6,463,1,363,3,49568,844256,165840,7161442,872839,0.151,
72521014895,2024,TMP,366,13458,7,377,4,366,0,49976,851192,214944,8136124,918905,0.167,
72524014820,2024,TMP,366,14026,51,378,23,366,0,49976,851192,223840,8679735,923793,0.17,
72524504853,2024,TMP,366,11204,5,390,5,366,0,49976,851192,154728,6701044,874019,0.15,
72525014852,2024,TMP,366,13396,2,419,12,365,1,49840,848880,213840,8277175,916238,0.164,
72526014860,2024,TMP,366,15250,6,589,17,365,1,49840,848880,243672,9099176,933303,0.171,
72526604751,2024,TMP,366,15178,11,391,3,366,0,49976,851192,230256,8987380,927639,0.179,
72528014733,2024,TMP,366,14435,8,857,8,366,0,49976,851192,230384,9279043,928640,0.2,
72528704724,2024,TMP,366,12715,3,383,4,366,0,49976,851192,179248,7697092,887393,0.159,
72529014768,2024,TMP,366,14105,0,846,13,365,1,49840,848880,225408,9253914,923193,0.169,
72530094846,2024,TMP,366,13652,8,367,14,366,0,49976,851192,217856,8451465,919467,0.224,
72530594892,2024,TMP,366,11166,4,667,3,360,3,49160,837320,150120,6757612,855569,0.148,
72531603887,2024,TMP,366,11010,8,378,0,366,0,49976,851192,143328,6238158,858337,0.145,
72532014842,2024,TMP,366,13214,10,406,5,364,2,49704,846568,210664,7731883,911612,0.218,
72533014827,2024,TMP,366,13702,8,892,13,366,0,49976,851192,218656,8661545,921025,0.235,
72534014819,2024,TMP,366,11702,8,365,4,366,0,49976,851192,186656,7018014,910631,0.227,
72535014848,2024,TMP,366,14574,4,392,11,364,2,49704,846568,232264,8228780,924441,0.251,
72536094830,2024,TMP,366,13931,12,677,30,360,2,49160,837320,222320,7936690,912180,0.242,
72536614825,2024,TMP,366,11833,3,380,0,366,0,49976,851192,160912,6823547,874214,0.167,
72537094847,2024,TMP,366,13938,7,897,345,366,0,49976,851192,222432,8774100,924651,0.194,
72537514822,2024,TMP,366,11577,1,379,3,366,0,49976,851192,158160,6785416,873810,0.149,
72537614853,2024,TMP,366,11606,13,439,4,361,5,49296,839632,165080,6718282,873840,0.154,
72537714804,2024,TMP,366,12778,27,223,12,363,3,49568,844256,204192,6638488,918256,0.199,
72539014836,2024,TMP,366,14554,5,392,33,366,0,49976,851192,232288,8446340,930184,0.257,
72539514833,2024,TMP,366,12337,6,381,3,366,0,49976,851192,177464,7207605,890261,0.254,
72543094822,2024,TMP,366,13542,13,411,5,366,0,49976,851192,215712,8184620,918211,0.245,
72544014923,2024,TMP,366,13604,19,397,15,365,1,49840,848880,216992,7867040,917781,0.2,
72545014990,2024,TMP,366,11255,27,381,3,366,0,49976,851192,149744,6764663,866062,0.175,
72546014933,2024,TMP,366,13272,35,378,7,366,0,49976,851192,211968,8248301,916485,0.163,
72546514950,2024,TMP,366,11299,14,369,1,365,1,49840,848880,151544,6585565,865454,0.159,
72547094908,2024,TMP,366,14303,27,403,29,364,2,49704,846568,227912,8231881,922975,0.214,
72548094910,2024,TMP,366,14009,13,393,7,366,0,49976,851192,223184,7966492,922151,0.237,
72548514940,2024,TMP,366,11373,7,382,1,355,6,48480,825760,154504,6658594,847797,0.223,
72550014942,2024,TMP,366,12998,20,362,8,365,1,49840,848880,206728,7668886,910801,0.235,
72551014939,2024,TMP,366,13158,32,406,4,365,1,49840,848880,207624,7323346,909854,0.158,
72552014935,2024,TMP,366,13630,43,439,19,363,3,49568,844256,216760,7956910,913221,0.166,
72552594949,2024,TMP,366,10731,3,380,0,366,0,49976,851192,134832,6197766,850154,0.143,
72554014949,2024,TMP,366,10594,55,178,7,365,1,49840,848880,146464,5304957,866374,0.149,
72556014941,2024,TMP,366,13851,12,361,3,365,1,49840,848880,220424,7790184,919773,0.207,
72557014943,2024,TMP,366,13766,12,369,19,365,1,49840,848880,219376,7613695,918663,0.217,
72561024030,2024,TMP,366,10262,44,385,1,347,3,47392,807264,134464,5760188,815334,0.203,
72562024023,2024,TMP,366,13303,46,413,17,366,0,49976,851192,211312,7544148,916703,0.233,
72564024018,2024,TMP,366,13001,43,462,23,365,1,49840,848880,206928,7309009,911320,0.17,
72564524022,2024,TMP,366,10621,21,403,0,364,2,49704,846568,137912,6129037,851822,0.145,
72565003017,2024,TMP,366,12986,39,378,18,366,0,49976,851192,206624,8087888,912968,0.163,
72566024028,2024,TMP,366,12792,66,387,15,365,1,49840,848880,203872,7274842,909488,0.159,
72567024032,2024,TMP,366,13754,38,355,11,365,1,49840,848880,219224,7751929,918052,0.214,
72569024089,2024,TMP,366,13076,42,383,12,366,0,49976,851192,208448,7391936,914558,0.214,
72570024046,2024,TMP,366,11584,48,2367,23,286,6,39096,666232,184288,7437714,728844,0.201,
72572024127,2024,TMP,366,12631,140,372,6,361,5,49296,839632,201056,7930355,897583,0.23,
72574424027,2024,TMP,366,10662,6,358,5,365,1,49840,848880,136528,6150685,850395,0.144,
72575524101,2024,TMP,366,11783,39,194,1,362,4,49432,841944,170488,5912687,879182,0.147,
72576024021,2024,TMP,366,9980,16,384,0,365,1,49840,848880,121352,5671869,837924,0.138,
72578024156,2024,TMP,366,13402,48,368,20,365,1,49840,848880,214000,7624181,916537,0.171,
72580524172,2024,TMP,366,9542,24,387,1,361,4,49296,839632,108824,5506732,816187,0.179,
72582524121,2024,TMP,366,10113,41,384,2,366,0,49976,851192,124752,5901856,841297,0.18,
72583024128,2024,TMP,366,12072,35,397,2,362,3,49432,841944,189824,6564992,893370,0.224,
72584523225,2024,TMP,366,13413,1,403,7,362,4,49432,841944,175984,7851972,860621,0.251,
72589594236,2024,TMP,366,10819,14,398,2,365,1,49840,848880,139816,6431414,853803,0.143,
