isd_station,normals_id,path
72253312962,USW00012962,/home/fallen/data/showcase/normals/USW00012962.csv
72253512909,USW00012909,/home/fallen/data/showcase/normals/USW00012909.csv
72255012912,USW00012912,/home/fallen/data/showcase/normals/USW00012912.csv
72255512935,USW00012935,/home/fallen/data/showcase/normals/USW00012935.csv
72256013959,USW00013959,/home/fallen/data/showcase/normals/USW00013959.csv
72257603902,USW00003902,/home/fallen/data/showcase/normals/USW00003902.csv
72259003927,USW00003927,/home/fallen/data/showcase/normals/USW00003927.csv
72259453909,USW00053909,/home/fallen/data/showcase/normals/USW00053909.csv
72261022010,USW00022010,/home/fallen/data/showcase/normals/USW00022010.csv
72263023034,USW00023034,/home/fallen/data/showcase/normals/USW00023034.csv
72265023023,USW00023023,/home/fallen/data/showcase/normals/USW00023023.csv
72265623040,USW00023040,/home/fallen/data/showcase/normals/USW00023040.csv
72266013962,USW00013962,/home/fallen/data/showcase/normals/USW00013962.csv
72267023042,USW00023042,/home/fallen/data/showcase/normals/USW00023042.csv
72268023009,USW00023009,/home/fallen/data/showcase/normals/USW00023009.csv
72268623008,USW00023008,/home/fallen/data/showcase/normals/USW00023008.csv
72268793033,USW00093033,/home/fallen/data/showcase/normals/USW00093033.csv
72270023044,USW00023044,/home/fallen/data/showcase/normals/USW00023044.csv
72271093045,USW00093045,/home/fallen/data/showcase/normals/USW00093045.csv
72274023160,USW00023160,/home/fallen/data/showcase/normals/USW00023160.csv
72274523109,USW00023109,/home/fallen/data/showcase/normals/USW00023109.csv
72274793084,USW00093084,/home/fallen/data/showcase/normals/USW00093084.csv
72278023183,USW00023183,/home/fallen/data/showcase/normals/USW00023183.csv
72286023119,USW00023119,/home/fallen/data/showcase/normals/USW00023119.csv
72288023152,USW00023152,/home/fallen/data/showcase/normals/USW00023152.csv
72290023188,USW00023188,/home/fallen/data/showcase/normals/USW00023188.csv
72290693112,USW00093112,/home/fallen/data/showcase/normals/USW00093112.csv
72292603154,USW00003154,/home/fallen/data/showcase/normals/USW00003154.csv
72295023174,USW00023174,/home/fallen/data/showcase/normals/USW00023174.csv
72303013714,USW00013714,/home/fallen/data/showcase/normals/USW00013714.csv
72303593740,USW00093740,/home/fallen/data/showcase/normals/USW00093740.csv
72306013722,USW00013722,/home/fallen/data/showcase/normals/USW00013722.csv
72306613713,USW00013713,/home/fallen/data/showcase/normals/USW00013713.csv
72307513769,USW00013769,/home/fallen/data/showcase/normals/USW00013769.csv
72308013737,USW00013737,/home/fallen/data/showcase/normals/USW00013737.csv
72308513750,USW00013750,/home/fallen/data/showcase/normals/USW00013750.csv
72308693741,USW00093741,/home/fallen/data/showcase/normals/USW00093741.csv
72309013754,USW00013754,/home/fallen/data/showcase/normals/USW00013754.csv
72309593719,USW00093719,/home/fallen/data/showcase/normals/USW00093719.csv
72309693727,USW00093727,/home/fallen/data/showcase/normals/USW00093727.csv
72310013883,USW00013883,/home/fallen/data/showcase/normals/USW00013883.csv
72310613744,USW00013744,/home/fallen/data/showcase/normals/USW00013744.csv
72311013873,USW00013873,/home/fallen/data/showcase/normals/USW00013873.csv
72312003870,USW00003870,/home/fallen/data/showcase/normals/USW00003870.csv
72313993729,USW00093729,/home/fallen/data/showcase/normals/USW00093729.csv
72314013881,USW00013881,/home/fallen/data/showcase/normals/USW00013881.csv
72315003812,USW00003812,/home/fallen/data/showcase/normals/USW00003812.csv
72317013723,USW00013723,/home/fallen/data/showcase/normals/USW00013723.csv
72320093801,USW00093801,/home/fallen/data/showcase/normals/USW00093801.csv
72323003856,USW00003856,/home/fallen/data/showcase/normals/USW00003856.csv
72323513896,USW00013896,/home/fallen/data/showcase/normals/USW00013896.csv
72324013882,USW00013882,/home/fallen/data/showcase/normals/USW00013882.csv
72326013891,USW00013891,/home/fallen/data/showcase/normals/USW00013891.csv
72327013897,USW00013897,/home/fallen/data/showcase/normals/USW00013897.csv
72330003975,USW00003975,/home/fallen/data/showcase/normals/USW00003975.csv
72332093862,USW00093862,/home/fallen/data/showcase/normals/USW00093862.csv
72334013893,USW00013893,/home/fallen/data/showcase/normals/USW00013893.csv
72334603811,USW00003811,/home/fallen/data/showcase/normals/USW00003811.csv
72340313963,USW00013963,/home/fallen/data/showcase/normals/USW00013963.csv
72340503930,USW00003930,/home/fallen/data/showcase/normals/USW00003930.csv
72341793988,USW00093988,/home/fallen/data/showcase/normals/USW00093988.csv
72341813977,USW00013977,/home/fallen/data/showcase/normals/USW00013977.csv
72341993992,USW00093992,/home/fallen/data/showcase/normals/USW00093992.csv
72344013964,USW00013964,/home/fallen/data/showcase/normals/USW00013964.csv
72344593993,USW00093993,/home/fallen/data/showcase/normals/USW00093993.csv
72349513987,USW00013987,/home/fallen/data/showcase/normals/USW00013987.csv
72351013966,USW00013966,/home/fallen/data/showcase/normals/USW00013966.csv
72352593986,USW00093986,/home/fallen/data/showcase/normals/USW00093986.csv
72353013967,USW00013967,/home/fallen/data/showcase/normals/USW00013967.csv
72354013919,USW00013919,/home/fallen/data/showcase/normals/USW00013919.csv
72354403954,USW00003954,/home/fallen/data/showcase/normals/USW00003954.csv
72356013968,USW00013968,/home/fallen/data/showcase/normals/USW00013968.csv
72356693950,USW00093950,/home/fallen/data/showcase/normals/USW00093950.csv
72360023051,USW00023051,/home/fallen/data/showcase/normals/USW00023051.csv
72362723081,USW00023081,/home/fallen/data/showcase/normals/USW00023081.csv
