station,year,field,days,n,dropped_quality,dropped_missing,dropped_repeat,n_days,dropped_days,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
01001099999,2024,TMP,366,6039,0,0,0,0,0,200,5000,48312,2302121,15270,0.161,
01001499999,2024,TMP,366,6685,1,6,0,0,0,200,5000,53480,2448596,16991,0.033,
01002099999,2024,TMP,366,1356,0,1,0,0,0,200,5000,10848,473181,6920,0.007,
01003099999,2024,TMP,366,3707,0,0,0,0,0,200,5000,29656,1571748,11096,0.012,
01006099999,2024,TMP,366,1422,0,1,0,0,0,200,5000,11376,491986,7098,0.004,
01007099999,2024,TMP,366,2834,0,0,0,0,0,200,5000,22672,1143442,8805,0.009,
01008099999,2024,TMP,366,19003,8,64,0,0,0,200,5000,152024,8115400,41610,0.083,
01009099999,2024,TMP,366,1418,0,0,0,0,0,200,5000,11344,493470,6889,0.005,
01010099999,2024,TMP,366,19900,20,110,0,0,0,200,5000,159200,7275664,42870,0.212,
01011099999,2024,TMP,366,1393,0,0,0,0,0,200,5000,11144,480865,7023,0.005,
01015099999,2024,TMP,366,7529,2,0,0,0,0,200,5000,60232,2275696,18019,0.019,
01016099999,2024,TMP,366,1424,0,0,0,0,0,200,5000,11392,503395,6963,0.005,
01017099999,2024,TMP,366,1439,0,0,0,0,0,200,5000,11512,513238,6978,0.007,
01020099999,2024,TMP,366,1311,0,0,0,0,0,200,5000,10488,459804,6856,0.005,
01023099999,2024,TMP,366,25089,36,4,0,0,0,200,5000,200712,11063172,55328,0.101,
01023199999,2024,TMP,366,11970,9,1523,0,0,0,200,5000,95760,4698784,25943,0.047,
01025099999,2024,TMP,366,24978,16,8,0,0,0,200,5000,199824,10442618,55223,0.22,
01026099999,2024,TMP,366,8393,0,0,0,0,0,200,5000,67144,3065772,19530,0.024,
01027099999,2024,TMP,366,4913,0,0,0,0,0,200,5000,39304,1222331,13986,0.015,
01028099999,2024,TMP,366,3084,3,3,0,0,0,200,5000,24672,1652309,9665,0.014,
01030099999,2024,TMP,366,5456,0,349,0,0,0,200,5000,43648,1769138,14604,0.016,
01033099999,2024,TMP,366,8374,0,0,0,0,0,200,5000,66992,2957536,19510,0.023,
01035099999,2024,TMP,366,1547,0,0,0,0,0,200,5000,12376,421170,7264,0.004,
01037099999,2024,TMP,366,8375,0,1,0,0,0,200,5000,67000,3256991,19518,0.028,
01042099999,2024,TMP,366,1250,0,29,0,0,0,200,5000,10000,377800,6735,0.153,
01043099999,2024,TMP,366,1406,0,0,0,0,0,200,5000,11248,431244,6855,0.005,
01044099999,2024,TMP,366,16515,9,1,0,0,0,200,5000,132120,5880325,35080,0.065,
01045099999,2024,TMP,366,8396,1,4,0,0,0,200,5000,67168,2536335,19544,0.022,
01046099999,2024,TMP,366,23850,2,0,0,0,0,200,5000,190800,9479085,52927,0.098,
01047099999,2024,TMP,366,2032,8,1,0,0,0,200,5000,16256,962906,7507,0.008,
01049099999,2024,TMP,366,19539,31,1,0,0,0,200,5000,156312,7374208,41498,0.064,
01052099999,2024,TMP,366,25028,37,28,0,0,0,200,5000,200224,10282163,55296,0.123,
01055099999,2024,TMP,366,2240,0,0,0,0,0,200,5000,17920,808356,8305,0.152,
01057099999,2024,TMP,366,848,4,0,0,0,0,200,5000,6784,348552,5887,0.004,
01058099999,2024,TMP,366,8362,7,1,0,0,0,200,5000,66896,3356538,19487,0.029,
01059099999,2024,TMP,366,25003,41,1,0,0,0,200,5000,200024,9371408,55170,0.101,
