group,n_blocks,n,n_flags,digest,bytes_header,bytes_payload,samples,p_c,p_v
00NA/east,37,3171,0,0b26ebbd8ab16c651176bf6d77cc9a704ccb61f0c076d4ccaab92726f70fa9b3,72495,53872,3171,0.8320164250027401,0.03653589583124445
00NA/north,37,3171,0,c9bff204f683df1251c537216cfb75fc774c1bf93503b5357f85aae3e683e335,72500,53872,3171,-0.2856583498855222,0.059444555276562845
00NA/up,37,3171,0,c273e83a73d1731ddb4ae07246a73aa9f9009e28d4f7782857e873c99f5a33ab,72443,53872,3171,0.8531630163239243,-0.0008280765708551357
01NA/east,29,2338,0,811ba54d604da549b3e779432502adb9ae22673ede4f905c4d364274af647bfc,54810,42224,2338,-0.7216168922500361,0.03535462975215159
01NA/north,29,2338,1,6031741958634788c45d096535008522d15df27de4f47219b403590ff2e394c9,54866,42224,2338,-0.7625002976654587,0.05905062721871392
01NA/up,29,2338,1,7f277157c57ae747c7e5478a9a9da175e7e54d1b99cc44f7f307a803a3abe10d,54737,42224,2338,0.39852724723931227,-0.003484013368059423
02NA/east,24,1894,0,77be9439cbac3c8766a4289b9f93de162427b5da3b1359a306af8e39b0726c92,44691,34944,1894,-0.22384640808364675,0.036210990176124155
02NA/north,24,1894,0,9c3ab12f9b34069d7df7c5d6f3669f4f705d13c5d57916cc6de6b10fc1794c88,44703,34944,1894,-0.14125044156354996,0.05927323599901229
02NA/up,24,1894,0,17ddc552cdeed1eeeec9769effaeeb9eb98d538f07620d6c39d7ba034a10c3ee,44651,34944,1894,0.6583727018420775,-0.0013907919643440904
0ABI/east,69,6078,2,5b94fa50e84afd500e11eee9b4afbfee8116173efda0aca0580c22a450b31eb7,139491,100464,6078,0.04965102296790092,0.015211504803206228
0ABI/north,69,6078,2,262576feb0c864c12527576a25e73d8db29a9fd7d46e037ec6e8a6079c4e0084,139677,100464,6078,0.37564998062908167,0.014933633252606493
0ABI/up,69,6078,0,2ebe3cb1ac2311bc435e9e75921caddb64fb9bb32a5ceb63ca9ecd39cb3b78f7,139462,100464,6078,0.3237232884834424,0.005474492296494917
0ABN/east,14,1206,0,625d36b72653a60e174f49f718d8fe83eea533f067d702a9ff6cf732ca4420df,28272,20384,1206,0.3201942313581181,0.015356538569123404
0ABN/north,14,1206,0,bdc4b541be4bf61d506d3e2ace808d9b77d9a5be19996f4610c80cfc4a3eff02,28279,20384,1206,0.36713032115461264,0.01649770708982899
0ABN/up,14,1206,0,02a628d34dee396ca978e22d1aa933ece5eeb82467fb563b174e9f1ce3701da3,28232,20384,1206,0.7619832935606686,0.00784055342059316
0ABY/east,46,4114,1,a5554abcf41353499c14ac96992a717bc0702efe72c3942205b306a2301cba67,93707,66976,4114,-0.6563157148259503,0.01863082924399063
0ABY/north,46,4114,1,f4fc86284f83f5ff07aafb9b70443e41e590a3334e990237d62156a5e07fa7f1,93654,66976,4114,0.0321141587732364,0.0137957827438815
0ABY/up,46,4114,0,55685dfd2817c26d1e024ae2e70e63eedcad34d212bc2cffe97a963b693dafad,93615,66976,4114,0.5069816887360785,0.005199919072145759
0AKE/east,64,5807,2,642922fd81466def2bfd4110113653b08ffb127a37ffe3a5826fc49dbf5fd05d,132635,93184,5807,0.4245337713798398,0.01879964554371643
0AKE/north,64,5807,1,ed7f69cd8544f0d7d02bf5aef708dc696e29ae32ed5fa88c5dca29ea364b3292,132718,93184,5807,0.9940640204154048,0.014212460159135382
0AKE/up,64,5807,0,5821d757b35d4aad7600614657b42646dc6452663c96a6d2b580141cf483e043,132434,93184,5807,0.07313509932575361,0.005216297831871978
0ALE/east,43,3857,1,7d8bafbe4ca4f993697a313d785cb6e8f14273aed8b114a970cc393399a87958,87691,62608,3857,0.496079705926637,0.01694120007035802
0ALE/north,43,3857,1,9a5634a3203e044ff83b55788f3b2a882539e5d7c8737086fbc27306ef80e25a,87697,62608,3857,0.07537950217471392,0.014726810386447214
0ALE/up,43,3857,0,9c79112f554d8da559d005d75e32f39153c0583868c8034a339bf842f1a5c8f8,87568,62608,3857,0.3959088142343591,0.00929528273142841
0ALF/east,83,7540,2,f6d21fba0377101af87c92c0e172b76577fc123147c1e5d35192566a4be57e2a,172530,120848,7540,-0.8381165122235691,0.016668256263741254
0ALF/north,83,7540,2,4122ec87971fc038b95c1285d76026bab019a8e5dc11b9905e761001db072270,172451,120848,7540,0.6782666850837783,0.014846987692452343
0ALF/up,83,7540,0,52d462834924f0c6ea3622babd46c396c36c0f841ff0d331a4302cba1d97e277,172206,120848,7540,0.6052169683428785,0.00830135787546644
0ALI/east,62,5621,1,809c6a0574c64df6556f3bb76a901e2c4fb97c2c590636a7d74ac2dcde8bd5e8,128329,90272,5621,0.9423162614723744,0.017439375555013098
0ALI/north,62,5621,1,a44438b7c2a868719e46560ab9926fece10beee582011e7e38960ff4422e2499,128379,90272,5621,0.48009255035868037,0.01453670546054362
0ALI/up,62,5621,0,21662567216b0327767ff494496ba5842b2ad3ecc841971393c30c4950409a1b,128141,90272,5621,0.6891369488094453,0.003534364903370105
0ALM/east,98,8827,2,ab0652c137ab77bc1527400892eb5202a073b072c1ef0470cb021e6212b94dbb,202003,142688,8827,-0.1884547317127588,0.018430767433293704
0ALM/north,98,8827,3,4d9753974252833a7d2215a488ba20fe9de68964c4ea7283b686fcfb595110c3,202112,142688,8827,0.6800297153401195,0.013765605610575942
0ALM/up,98,8827,1,97d471d47d7ae39ae09c1701e278ec2291b9e6445423dc1113bf3e9bbfe68a9a,201808,142688,8827,0.5941668822448889,0.006407778569812525
0ALN/east,14,1197,0,b53d261d91b1df04cc1fbd9a9bd3cf7866e268b74ab8024e38db6818f7f684b9,28092,20384,1197,0.9290951053106243,0.016676458108707003
0ALN/north,14,1197,0,056f8a5045b92fc3117a31ba59536a6f9fa05f6a8f11ae4a319305af90d60810,28153,20384,1197,0.4731266173580073,0.013297694947680449
0ALN/up,14,1197,0,92f6975d457ddf6bc4e617eee33d09a16ecc9216d4bf5d069b1d675c37b7b746,28108,20384,1197,0.6477794266886879,0.009646085314037867
0ALS/east,32,2833,0,cabf9fb6c95b9a508a46f7beed7ed1cd43b030131cc76355dece701dc44cb4cd,64856,46592,2833,0.2047313988625275,0.018713954581945788
0ALS/north,32,2833,0,da71b6e782ec5f7d2ec61f51e8ec4a362ea30cf3617708c560eab42a66bb5783,64888,46592,2833,0.06743074835731235,0.014292751955796297
0ALS/up,32,2833,1,5a06e190fec0356d2fe902b24afdab827c0725854d8a6b94f37eb76527f56b5e,64833,46592,2833,0.19054121415156655,0.0026581079958487167
0ALV/east,74,6707,1,4eb4628dba0c75819b201cacd64049abf28c557b759afcac95ad60d9e345cf7c,153398,107744,6707,0.24674756074252288,0.016170379226410715
0ALV/north,74,6707,2,5b6a1d9a7a2659f9a6965bee6df2492a2cab8b9b693690851110ce24ccb7ac59,153384,107744,6707,0.23019500292583997,0.015154121501767173
0ALV/up,74,6707,0,750765ccf33389733fde799b19be4f4cc0b266d812816fc1fa434d3884125be0,153228,107744,6707,0.9247301255341933,0.0073484616227181224
0AMB/east,46,4090,1,537f075228605ca249a5933e8fabcd1675e379539d1a82ef23035439807132ac,93274,66976,4090,-0.09907054725259755,0.01680231793325927
