sta,n,span,order,n_segments,skipped_segments,n_blocks,dropped_blocks,n_flags,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
0ENV,4123,11.3703,107,0,0,12,0,0,6336,328608,197904,841296,402357,0.159,
0ERS,2129,5.9138,64,0,0,6,0,0,3432,125736,102192,434520,159744,0.096,
0ESK,5834,16.0931,145,0,0,17,0,0,8808,580536,280032,1190340,690350,0.202,
0ESL,2369,6.5599,69,0,0,7,0,0,3864,145992,113712,483480,182788,0.035,
0ESN,4118,11.3484,107,0,0,12,0,0,6336,328608,197664,840276,403211,0.07,
0FAF,4965,13.7495,126,0,0,14,0,0,7416,443880,238320,1013064,538238,0.345,
0FAL,8608,23.9507,208,0,0,24,0,0,12504,1145688,413184,1756236,1319330,0.536,
0FAR,7358,20.3258,179,0,0,21,0,0,10872,862776,353184,1501236,1007189,0.167,
0FBG,2967,8.3614,83,0,0,9,0,0,4824,205848,142416,605472,255948,0.032,
0FIL,3247,8.9966,88,0,0,9,0,0,4944,226608,155856,662592,280597,0.036,
0FIN,4114,11.3703,107,0,0,12,0,0,6336,328608,197472,839460,402547,0.063,
0FLR,1944,5.4264,60,0,0,6,0,0,3336,113640,93312,396780,147516,0.02,
0FLU,5219,14.4038,132,0,0,15,0,0,7872,485376,250512,1064880,583343,0.061,
0FRA,1721,4.7365,54,0,0,5,0,0,2880,92880,82608,351288,125759,0.042,
0FRB,4603,12.731,118,0,0,13,0,0,6912,392592,220944,939216,476208,0.195,
0FRE,6708,18.5544,165,0,0,19,0,0,9912,738408,321984,1368636,866330,0.162,
0FRI,4581,12.7119,118,0,0,13,0,0,6912,392592,219888,934728,475930,0.117,
