station,year,field,days,n,dropped_quality,dropped_missing,dropped_repeat,n_days,dropped_days,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
01116099999,2024,TMP,366,10675,9,9,0,0,0,200,5000,85400,4271434,24702,0.058,
01117099999,2024,TMP,366,5653,1,0,0,0,0,200,5000,45224,1605148,14458,0.038,
01121099999,2024,TMP,366,6920,0,0,0,0,0,200,5000,55360,2545584,17308,0.059,
01122099999,2024,TMP,366,24991,14,3,8,0,0,200,5000,199928,10028510,56195,0.164,
01124099999,2024,TMP,366,1513,6,0,0,0,0,200,5000,12104,444927,7168,0.012,
01132099999,2024,TMP,366,8368,1,1,0,0,0,200,5000,66944,3302987,19499,0.039,
01133099999,2024,TMP,366,1429,1,0,0,0,0,200,5000,11432,449421,6917,0.009,
01135099999,2024,TMP,366,7383,0,0,0,0,0,200,5000,59064,2887227,18134,0.063,
01139099999,2024,TMP,366,1466,0,12,0,0,0,200,5000,11728,536596,7812,0.011,
01141099999,2024,TMP,366,19092,1,12,0,0,0,200,5000,152736,6856325,44368,0.098,
01143099999,2024,TMP,366,7385,0,1,0,0,0,200,5000,59080,2480387,18131,0.039,
01144099999,2024,TMP,366,8354,0,0,0,0,0,200,5000,66832,2535448,19467,0.074,
01146099999,2024,TMP,366,1556,0,0,0,0,0,200,5000,12448,496049,7270,0.007,
01147099999,2024,TMP,366,7378,0,0,0,0,0,200,5000,59024,2492192,18128,0.03,
01148099999,2024,TMP,366,1390,4,49,0,0,0,200,5000,11120,475908,6872,0.016,
01150099999,2024,TMP,366,7381,0,1,0,0,0,200,5000,59048,2626688,18124,0.063,
01151099999,2024,TMP,366,17142,5,0,0,0,0,200,5000,137136,6459089,36039,0.158,
01152099999,2024,TMP,366,24466,32,482,0,0,0,200,5000,195728,9005243,54240,0.131,
01156099999,2024,TMP,366,8375,0,0,0,0,0,200,5000,67000,3212199,19507,0.066,
01158099999,2024,TMP,366,1480,0,0,0,0,0,200,5000,11840,511973,7079,0.016,
01160099999,2024,TMP,366,3116,0,3,0,0,0,200,5000,24928,1061834,9659,0.034,
01161099999,2024,TMP,366,16724,0,70,0,0,0,200,5000,133792,6497672,35476,0.153,
01162099999,2024,TMP,366,17190,0,3,0,0,0,200,5000,137520,6667243,36007,0.13,
01169099999,2024,TMP,366,8373,4,0,0,0,0,200,5000,66984,2989492,19501,0.04,
01180099999,2024,TMP,366,8373,0,0,0,0,0,200,5000,66984,3222610,19509,0.048,
01183099999,2024,TMP,366,16760,5,1,0,0,0,200,5000,134080,6451376,35659,0.092,
01192099999,2024,TMP,366,7375,0,1,0,0,0,200,5000,59000,2461898,18115,0.054,
01198099999,2024,TMP,366,1415,8,0,0,0,0,200,5000,11320,487604,7047,0.011,
01199099999,2024,TMP,366,7369,2,0,0,0,0,200,5000,58952,2340913,17937,0.068,
01203099999,2024,TMP,366,8374,0,0,0,0,0,200,5000,66992,2984952,19498,0.046,
01205099999,2024,TMP,366,2997,0,1,0,0,0,200,5000,23976,1037843,10046,0.016,
01209099999,2024,TMP,366,17194,5,8,0,0,0,200,5000,137552,7398809,36073,0.121,
01210099999,2024,TMP,366,25031,24,23,0,0,0,200,5000,200248,9159432,55248,0.157,
01212099999,2024,TMP,366,3183,0,15,0,0,0,200,5000,25464,1120877,9853,0.017,
01214099999,2024,TMP,366,1403,0,1,0,0,0,200,5000,11224,430940,6835,0.015,
01217099999,2024,TMP,366,17022,4,4,0,0,0,200,5000,136176,6237216,35904,0.118,
01218099999,2024,TMP,366,4877,5,6,0,0,0,200,5000,39016,1748008,13849,0.023,
01220099999,2024,TMP,366,316,0,0,0,0,0,200,5000,2528,87648,5354,0.006,
01221099999,2024,TMP,366,1362,0,0,0,0,0,200,5000,10896,370915,6794,0.006,
01223099999,2024,TMP,366,17190,5,3,0,0,0,200,5000,137520,6811735,35985,0.091,
01224099999,2024,TMP,366,1561,0,0,0,0,0,200,5000,12488,453844,7255,0.008,
01225099999,2024,TMP,366,7381,0,0,0,0,0,200,5000,59048,2609901,18123,0.032,
01227099999,2024,TMP,366,7378,6,0,0,0,0,200,5000,59024,2239181,18134,0.061,
01228099999,2024,TMP,366,8366,0,1,0,0,0,200,5000,66928,2923409,19489,0.068,
01230099999,2024,TMP,366,7375,4,0,0,0,0,200,5000,59000,2413039,18129,0.032,
01232099999,2024,TMP,366,7199,4,2,0,0,0,200,5000,57592,2756899,17820,0.033,
01233099999,2024,TMP,366,8365,0,9,0,0,0,200,5000,66920,2769906,19488,0.057,
01234099999,2024,TMP,366,7372,2,0,0,0,0,200,5000,58976,2428386,18114,0.038,
01237099999,2024,TMP,366,8376,0,0,0,0,0,200,5000,67008,3159962,19508,0.039,
01238099999,2024,TMP,366,8218,0,23,0,0,0,200,5000,65744,3215635,19310,0.065,
01239099999,2024,TMP,366,1457,0,0,0,0,0,200,5000,11656,475424,6957,0.009,
01240099999,2024,TMP,366,7351,0,5,0,0,0,200,5000,58808,2566879,17720,0.045,
01241099999,2024,TMP,366,19313,8,11,0,0,0,200,5000,154504,7449377,41158,0.127,
01242099999,2024,TMP,366,6120,0,0,0,0,0,200,5000,48960,1480100,15444,0.035,
01245099999,2024,TMP,366,8374,0,0,0,0,0,200,5000,66992,3225844,19513,0.067,
01250099999,2024,TMP,366,2475,7,0,0,0,0,200,5000,19800,654682,9469,0.021,
01253099999,2024,TMP,366,7198,0,0,0,0,0,200,5000,57584,2420305,17785,0.057,
01254099999,2024,TMP,366,7369,9,3,0,0,0,200,5000,58952,2424135,18107,0.056,
01257099999,2024,TMP,366,7371,10,0,0,0,0,200,5000,58968,2880260,18126,0.061,
01259099999,2024,TMP,366,8378,0,0,0,0,0,200,5000,67024,2969135,19516,0.078,
01262099999,2024,TMP,366,8258,0,0,0,0,0,200,5000,66064,2449663,19354,0.059,
01265099999,2024,TMP,366,8366,9,0,0,0,0,200,5000,66928,3286228,19499,0.078,
01270099999,2024,TMP,366,2296,0,0,0,0,0,200,5000,18368,605055,9047,0.009,
01271099999,2024,TMP,366,19834,8,14,0,0,0,200,5000,158672,7986341,42893,0.156,
01272099999,2024,TMP,366,4823,0,0,0,0,0,200,5000,38584,1195977,13825,0.02,
01273099999,2024,TMP,366,8371,0,1,0,0,0,200,5000,66968,3243732,19501,0.076,
01277099999,2024,TMP,366,7380,0,0,0,0,0,200,5000,59040,2825014,18116,0.075,
01281099999,2024,TMP,366,2812,1,0,0,0,0,200,5000,22496,1128348,8758,0.031,
01282099999,2024,TMP,366,17063,1,2,0,0,0,200,5000,136504,6200297,35810,0.14,
01287099999,2024,TMP,366,1435,0,0,0,0,0,200,5000,11480,399887,6916,0.015,
01288099999,2024,TMP,366,2928,16,0,0,0,0,200,5000,23424,1259618,9150,0.03,
01290099999,2024,TMP,366,17086,0,6,0,0,0,200,5000,136688,6374034,35872,0.15,
01291099999,2024,TMP,366,7312,0,1,0,0,0,200,5000,58496,2460250,17999,0.057,
01293099999,2024,TMP,366,8349,2,0,0,0,0,200,5000,66792,3286722,19469,0.071,
01300099999,2024,TMP,366,8305,0,7,0,0,0,200,5000,66440,2804336,19395,0.066,
01300599999,2024,TMP,366,15434,0,584,0,0,0,200,5000,123472,6119097,32285,0.133,
01304099999,2024,TMP,366,8365,0,7,0,0,0,200,5000,66920,3061614,19495,0.071,
01307099999,2024,TMP,366,8303,0,4,0,0,0,200,5000,66424,2883940,19375,0.066,
01308099999,2024,TMP,366,2305,0,0,0,0,0,200,5000,18440,585821,9078,0.009,
01310099999,2024,TMP,366,17152,0,85,0,0,0,200,5000,137216,6582458,35832,0.076,
